time;sec;nsec;tag_address;anchor_address;range;range_ground_truth;receive_power;first_path_power;receive_quality;temperature;voltage;tag_antenna_delay
1516649095.16722;1516649095;167220115;176;178;1.7999999523162842;1.732050807568877;-75.9000015258789;-279.29998779296875;-153.02000427246094;48.08000183105469;3.2884390354156494;16451
1516649095.180586;1516649095;180586099;176;177;1.690000057220459;1.732050807568877;-73.29000091552734;-279.29998779296875;-153.02000427246094;48.08000183105469;3.2884390354156494;16451
1516649095.290937;1516649095;290936946;176;178;1.7699999809265137;1.732050807568877;-76.2699966430664;-279.29998779296875;-153.02000427246094;-97.83999633789062;2.542773962020874;16451
1516649095.305422;1516649095;305422067;176;177;1.690000057220459;1.732050807568877;-73.36000061035156;-279.29998779296875;-153.02000427246094;-97.83999633789062;2.542773962020874;16451
1516649095.41349;1516649095;413490056;176;178;1.8300000429153442;1.732050807568877;-76.5;-279.29998779296875;-153.02000427246094;-97.83999633789062;2.554335117340088;16451
1516649095.427618;1516649095;427618026;176;177;1.690000057220459;1.732050807568877;-72.76000213623047;-279.29998779296875;-153.02000427246094;-97.83999633789062;2.554335117340088;16451
1516649095.537663;1516649095;537662982;176;178;1.809999942779541;1.732050807568877;-75.31999969482422;-279.29998779296875;-153.02000427246094;-97.83999633789062;2.554335117340088;16451
1516649095.551701;1516649095;551701068;176;177;1.690000057220459;1.732050807568877;-73.0999984741211;-279.29998779296875;-153.02000427246094;48.08000183105469;3.3057799339294434;16451
1516649095.660952;1516649095;660952091;176;178;1.7699999809265137;1.732050807568877;-76.0999984741211;-279.29998779296875;-153.02000427246094;48.08000183105469;3.299999952316284;16451
1516649095.675615;1516649095;675615072;176;177;1.7300000190734863;1.732050807568877;-72.26000213623047;-279.29998779296875;-153.02000427246094;-97.83999633789062;2.554335117340088;16451
1516649095.908164;1516649095;908164024;176;178;1.809999942779541;1.732050807568877;-76.9800033569336;-279.29998779296875;-153.02000427246094;48.08000183105469;3.294219970703125;16451
1516649095.921763;1516649095;921762943;176;177;1.7400000095367432;1.732050807568877;-72.81999969482422;-279.29998779296875;-153.02000427246094;46.939998626708984;3.294219970703125;16451
1516649096.031615;1516649096;31615018;176;178;1.7699999809265137;1.732050807568877;-75.7300033569336;-279.29998779296875;-153.02000427246094;-97.83999633789062;2.542773962020874;16451
1516649096.045626;1516649096;45625925;176;177;1.7200000286102295;1.732050807568877;-72.55000305175781;-279.29998779296875;-153.02000427246094;46.939998626708984;3.294219970703125;16451
1516649096.154953;1516649096;154953002;176;178;1.8200000524520874;1.732050807568877;-76.22000122070312;-279.29998779296875;-153.02000427246094;48.08000183105469;3.2884390354156494;16451
1516649096.169057;1516649096;169056892;176;177;1.6799999475479126;1.732050807568877;-73.80999755859375;-279.29998779296875;-153.02000427246094;-97.83999633789062;2.542773962020874;16451
1516649096.279062;1516649096;279062032;176;178;1.7599999904632568;1.732050807568877;-76.37999725341797;-279.29998779296875;-153.02000427246094;-97.83999633789062;2.542773962020874;16451
1516649096.294358;1516649096;294358015;176;177;1.6799999475479126;1.732050807568877;-72.83999633789062;-279.29998779296875;-153.02000427246094;-97.83999633789062;2.542773962020874;16451
1516649096.401719;1516649096;401719093;176;178;1.7899999618530273;1.732050807568877;-74.44000244140625;-279.29998779296875;-153.02000427246094;48.08000183105469;3.299999952316284;16451
1516649096.416913;1516649096;416913032;176;177;1.6799999475479126;1.732050807568877;-72.9800033569336;-279.29998779296875;-153.02000427246094;48.08000183105469;3.294219970703125;16451
1516649096.525685;1516649096;525685071;176;178;1.7799999713897705;1.732050807568877;-75.9000015258789;-279.29998779296875;-153.02000427246094;-97.83999633789062;2.554335117340088;16451
1516649096.53982;1516649096;539819955;176;177;1.7000000476837158;1.732050807568877;-72.94000244140625;-279.29998779296875;-153.02000427246094;48.08000183105469;3.299999952316284;16451
1516649096.650099;1516649096;650099039;176;178;1.75;1.732050807568877;-76.16999816894531;-279.29998779296875;-153.02000427246094;-100.12000274658203;2.542773962020874;16451
1516649096.66369;1516649096;663690090;176;177;1.7400000095367432;1.732050807568877;-73.94999694824219;-279.29998779296875;-153.02000427246094;46.939998626708984;3.299999952316284;16451
1516649096.772668;1516649096;772667884;176;178;1.7899999618530273;1.732050807568877;-75.41000366210938;-279.29998779296875;-153.02000427246094;-97.83999633789062;2.542773962020874;16451
1516649096.78719;1516649096;787189960;176;177;1.7200000286102295;1.732050807568877;-72.83000183105469;-279.29998779296875;-153.02000427246094;46.939998626708984;3.294219970703125;16451
1516649096.896349;1516649096;896348953;176;178;1.7699999809265137;1.732050807568877;-75.36000061035156;-279.29998779296875;-153.02000427246094;46.939998626708984;3.294219970703125;16451
1516649096.911555;1516649096;911555051;176;177;1.690000057220459;1.732050807568877;-73.52999877929688;-279.29998779296875;-153.02000427246094;48.08000183105469;3.294219970703125;16451
1516649097.017875;1516649097;17874956;176;178;1.7899999618530273;1.732050807568877;-74.16000366210938;-279.29998779296875;-153.02000427246094;48.08000183105469;3.299999952316284;16451
1516649097.033688;1516649097;33688068;176;177;1.690000057220459;1.732050807568877;-72.06999969482422;-279.29998779296875;-153.02000427246094;48.08000183105469;3.2884390354156494;16451
1516649097.143017;1516649097;143017053;176;178;1.7999999523162842;1.732050807568877;-75.69999694824219;-279.29998779296875;-153.02000427246094;-97.83999633789062;2.554335117340088;16451
1516649097.157031;1516649097;157031059;176;177;1.7100000381469727;1.732050807568877;-73.26000213623047;-279.29998779296875;-153.02000427246094;48.08000183105469;3.294219970703125;16451
1516649097.267124;1516649097;267123937;176;178;1.7799999713897705;1.732050807568877;-77.19999694824219;-279.29998779296875;-153.02000427246094;-97.83999633789062;2.554335117340088;16451
1516649097.28165;1516649097;281650066;176;177;1.6699999570846558;1.732050807568877;-72.37000274658203;-279.29998779296875;-153.02000427246094;46.939998626708984;3.299999952316284;16451
1516649097.389888;1516649097;389888048;176;178;1.7899999618530273;1.732050807568877;-76.5999984741211;-279.29998779296875;-153.02000427246094;-97.83999633789062;2.554335117340088;16451
1516649097.403529;1516649097;403528928;176;177;1.7100000381469727;1.732050807568877;-73.26000213623047;-279.29998779296875;-153.02000427246094;48.08000183105469;3.294219970703125;16451
1516649097.513909;1516649097;513909101;176;178;1.7599999904632568;1.732050807568877;-77.55999755859375;-279.29998779296875;-153.02000427246094;-97.83999633789062;2.554335117340088;16451
