time;sec;nsec;tag_address;anchor_address;range;range_ground_truth;receive_power;first_path_power;receive_quality;temperature;voltage;tag_antenna_delay
1516647573.199603;1516647573;199603080;176;177;156.1199951171875;1.732050807568877;-74.47000122070312;-279.29998779296875;-153.02000427246094;48.08000183105469;3.294219970703125;0
1516647573.214211;1516647573;214210987;176;178;155.89999389648438;1.732050807568877;-78.16000366210938;-279.29998779296875;-153.02000427246094;48.08000183105469;3.294219970703125;0
1516647573.322102;1516647573;322102069;176;177;156.08999633789062;1.732050807568877;-73.20999908447266;-279.29998779296875;-153.02000427246094;46.939998626708984;3.294219970703125;0
1516647573.336539;1516647573;336539030;176;178;155.89999389648438;1.732050807568877;-79.0999984741211;-279.29998779296875;-153.02000427246094;48.08000183105469;3.299999952316284;0
1516647573.445809;1516647573;445808887;176;177;156.0800018310547;1.732050807568877;-73.30000305175781;-279.29998779296875;-153.02000427246094;48.08000183105469;3.299999952316284;0
1516647573.460351;1516647573;460350990;176;178;155.8800048828125;1.732050807568877;-77.73999786376953;-279.29998779296875;-153.02000427246094;48.08000183105469;3.294219970703125;0
1516647573.569831;1516647573;569830894;176;177;156.10000610351562;1.732050807568877;-72.3499984741211;-279.29998779296875;-153.02000427246094;48.08000183105469;3.299999952316284;0
1516647573.584441;1516647573;584440946;176;178;155.97000122070312;1.732050807568877;-76.61000061035156;-279.29998779296875;-153.02000427246094;46.939998626708984;3.294219970703125;0
1516647573.693033;1516647573;693032979;176;177;156.1199951171875;1.732050807568877;-72.75;-279.29998779296875;-153.02000427246094;46.939998626708984;3.299999952316284;0
1516647573.706919;1516647573;706918954;176;178;155.89999389648438;1.732050807568877;-77.51000213623047;-279.29998779296875;-153.02000427246094;46.939998626708984;3.294219970703125;0
1516647573.831059;1516647573;831058979;176;178;155.9199981689453;1.732050807568877;-77.31999969482422;-279.29998779296875;-153.02000427246094;46.939998626708984;3.294219970703125;0
1516647573.953859;1516647573;953859090;176;178;155.9199981689453;1.732050807568877;-76.91999816894531;-279.29998779296875;-153.02000427246094;48.08000183105469;3.2884390354156494;0
1516647574.063851;1516647574;63851118;176;177;156.10000610351562;1.732050807568877;-73.1500015258789;-279.29998779296875;-153.02000427246094;48.08000183105469;3.2884390354156494;0
1516647574.078117;1516647574;78116893;176;178;155.9199981689453;1.732050807568877;-78.56999969482422;-279.29998779296875;-153.02000427246094;48.08000183105469;3.2884390354156494;0
1516647574.186891;1516647574;186891078;176;177;156.08999633789062;1.732050807568877;-74.75;-279.29998779296875;-153.02000427246094;48.08000183105469;3.2884390354156494;0
1516647574.200784;1516647574;200783967;176;178;155.92999267578125;1.732050807568877;-78.23999786376953;-279.29998779296875;-153.02000427246094;46.939998626708984;3.294219970703125;0
1516647574.309697;1516647574;309696912;176;177;156.11000061035156;1.732050807568877;-74.33000183105469;-279.29998779296875;-153.02000427246094;48.08000183105469;3.2884390354156494;0
1516647574.324115;1516647574;324115037;176;178;155.9600067138672;1.732050807568877;-79.16000366210938;-279.29998779296875;-153.02000427246094;46.939998626708984;3.294219970703125;0
1516647574.434056;1516647574;434056043;176;177;156.1199951171875;1.732050807568877;-73.87000274658203;-279.29998779296875;-153.02000427246094;46.939998626708984;3.299999952316284;0
1516647574.449757;1516647574;449757099;176;178;155.92999267578125;1.732050807568877;-76.69000244140625;-279.29998779296875;-153.02000427246094;48.08000183105469;3.294219970703125;0
1516647574.558225;1516647574;558224916;176;177;156.1199951171875;1.732050807568877;-72.88999938964844;-279.29998779296875;-153.02000427246094;48.08000183105469;3.299999952316284;0
1516647574.572533;1516647574;572532892;176;178;155.9199981689453;1.732050807568877;-77.33999633789062;-279.29998779296875;-153.02000427246094;48.08000183105469;3.294219970703125;0
1516647574.681149;1516647574;681149005;176;177;156.08999633789062;1.732050807568877;-72.55000305175781;-279.29998779296875;-153.02000427246094;46.939998626708984;3.294219970703125;0
1516647574.696326;1516647574;696326017;176;178;155.8699951171875;1.732050807568877;-77.79000091552734;-279.29998779296875;-153.02000427246094;46.939998626708984;3.294219970703125;0
1516647574.805332;1516647574;805331945;176;177;156.11000061035156;1.732050807568877;-73.0;-279.29998779296875;-153.02000427246094;46.939998626708984;3.2884390354156494;0
1516647574.82015;1516647574;820149898;176;178;155.89999389648438;1.732050807568877;-78.08999633789062;-279.29998779296875;-153.02000427246094;46.939998626708984;3.294219970703125;0
1516647574.927831;1516647574;927830934;176;177;156.0800018310547;1.732050807568877;-72.7300033569336;-279.29998779296875;-153.02000427246094;46.939998626708984;3.294219970703125;0
1516647574.942995;1516647574;942995071;176;178;155.91000366210938;1.732050807568877;-77.91000366210938;-279.29998779296875;-153.02000427246094;46.939998626708984;3.294219970703125;0
1516647575.051858;1516647575;51857948;176;177;156.1699981689453;1.732050807568877;-73.37000274658203;-279.29998779296875;-153.02000427246094;46.939998626708984;3.294219970703125;0
1516647575.066202;1516647575;66201925;176;178;155.9199981689453;1.732050807568877;-77.4000015258789;-279.29998779296875;-153.02000427246094;46.939998626708984;3.299999952316284;0
1516647575.176131;1516647575;176131010;176;177;156.1199951171875;1.732050807568877;-73.8499984741211;-279.29998779296875;-153.02000427246094;46.939998626708984;3.294219970703125;0
1516647575.189808;1516647575;189807891;176;178;155.91000366210938;1.732050807568877;-79.62000274658203;-279.29998779296875;-153.02000427246094;48.08000183105469;3.294219970703125;0
1516647575.298585;1516647575;298584938;176;177;156.07000732421875;1.732050807568877;-73.0199966430664;-279.29998779296875;-153.02000427246094;46.939998626708984;3.294219970703125;0
