time;sec;nsec;tag_address;anchor_address;range;receive_power;first_path_power;receive_quality;temperature;voltage;tag_antenna_delay
1516442533.025416;1516442533;25415897;176;177;158.91000366210938;-86.2699966430664;-279.29998779296875;-153.02000427246094;-95.55999755859375;2.554335117340088;0
1516442533.038544;1516442533;38543939;176;178;161.3800048828125;-93.25;-279.29998779296875;-153.02000427246094;-95.55999755859375;2.554335117340088;0
1516442533.052429;1516442533;52428960;176;179;161.47999572753906;-91.66999816894531;-279.29998779296875;-153.02000427246094;-95.55999755859375;2.554335117340088;0
1516442533.066341;1516442533;66340923;176;180;158.77000427246094;-88.5;-279.29998779296875;-153.02000427246094;-95.55999755859375;2.554335117340088;0
1516442533.190588;1516442533;190587997;176;177;158.99000549316406;-84.37999725341797;-279.29998779296875;-153.02000427246094;51.5;2.554335117340088;0
1516442533.20418;1516442533;204180002;176;178;161.39999389648438;-94.30000305175781;-279.29998779296875;-153.02000427246094;51.5;3.294219970703125;0
1516442533.21862;1516442533;218620061;176;179;161.47000122070312;-91.83000183105469;-279.29998779296875;-153.02000427246094;50.36000061035156;3.2884390354156494;0
1516442533.232604;1516442533;232604026;176;180;158.77000427246094;-89.08000183105469;-279.29998779296875;-153.02000427246094;50.36000061035156;3.2884390354156494;0
1516442533.35627;1516442533;356270074;176;177;158.83999633789062;-85.18000030517578;-279.29998779296875;-153.02000427246094;51.5;3.2884390354156494;0
1516442533.370067;1516442533;370066881;176;178;161.41000366210938;-93.29000091552734;-279.29998779296875;-153.02000427246094;51.5;3.294219970703125;0
1516442533.383463;1516442533;383462905;176;179;161.4499969482422;-92.11000061035156;-279.29998779296875;-153.02000427246094;51.5;3.2884390354156494;0
1516442533.398228;1516442533;398227930;176;180;158.7899932861328;-88.52999877929688;-279.29998779296875;-153.02000427246094;51.5;3.2826590538024902;0
1516442533.521527;1516442533;521527051;176;177;158.88999938964844;-82.1500015258789;-279.29998779296875;-153.02000427246094;-95.55999755859375;2.542773962020874;0
1516442533.535081;1516442533;535080909;176;178;161.30999755859375;-93.83000183105469;-279.29998779296875;-153.02000427246094;51.5;3.294219970703125;0
1516442533.549146;1516442533;549145936;176;179;161.4600067138672;-92.11000061035156;-279.29998779296875;-153.02000427246094;51.5;3.2884390354156494;0
1516442533.563056;1516442533;563055992;176;180;158.77999877929688;-88.87000274658203;-279.29998779296875;-153.02000427246094;50.36000061035156;3.294219970703125;0
1516442533.686897;1516442533;686897039;176;177;158.89999389648438;-84.55999755859375;-279.29998779296875;-153.02000427246094;51.5;3.299999952316284;0
