type;tag_address;anchor_address;ground_truth;range;receive_power;first_path_power;receive_quality;temperature;voltage
0;178;179;2.0;156.39;-73.53;-131.63;260.26;40.1;3.30578
0;178;179;2.0;156.39;-73.71;-131.63;260.26;40.1;3.30578
0;178;179;2.0;156.39;-74.04;-131.63;260.26;41.24;3.30578
0;178;179;2.0;156.39;-75.07;-131.63;260.26;41.24;3.30578
0;178;179;2.0;156.38;-74.64;-131.63;260.26;41.24;3.317341
0;178;179;2.0;156.4;-74.69;-131.63;260.26;41.24;3.317341
0;178;179;2.0;156.42;-74.35;-131.63;260.26;41.24;3.311561
0;178;179;2.0;156.45;-74.65;-131.63;260.26;42.38;3.317341
0;178;179;2.0;156.39;-73.44;-131.63;260.26;42.38;3.30578
0;178;179;2.0;156.37;-73.78;-131.63;260.26;42.38;3.30578
0;178;179;2.0;156.35;-74.42;-131.63;260.26;42.38;3.311561
0;178;179;2.0;156.4;-74.25;-131.63;260.26;42.38;3.30578
0;178;179;2.0;156.4;-74.25;-131.63;260.26;42.38;3.311561
0;178;179;2.0;156.41;-74.52;-131.63;260.26;42.38;3.317341
0;178;179;2.0;156.4;-75.49;-131.63;260.26;43.52;3.317341
0;178;179;2.0;156.46;-73.8;-131.63;260.26;43.52;3.317341
0;178;179;2.0;156.38;-73.38;-131.63;260.26;42.38;3.311561
0;178;179;2.0;156.39;-74.18;-131.63;260.26;43.52;3.30578
0;178;179;2.0;156.38;-73.61;-131.63;260.26;43.52;3.30578
0;178;179;2.0;156.4;-74.47;-131.63;260.26;43.52;3.30578
0;178;179;2.0;156.41;-73.89;-131.63;260.26;42.38;3.311561
0;178;177;2.0;156.36;-70.61;-131.63;260.26;43.52;3.311561
0;178;179;2.0;156.38;-72.91;-131.63;260.26;43.52;3.317341
0;178;177;2.0;156.38;-71.57;-131.63;260.26;43.52;3.311561
0;178;179;2.0;156.41;-74.29;-131.63;260.26;43.52;3.311561
0;178;177;2.0;156.38;-70.89;-131.63;260.26;42.38;3.311561
0;178;179;2.0;156.4;-75.19;-131.63;260.26;43.52;3.311561
0;178;177;2.0;156.36;-70.44;-131.63;260.26;43.52;3.311561
0;178;179;2.0;156.38;-73.79;-131.63;260.26;43.52;3.30578
0;178;177;2.0;156.39;-70.44;-131.63;260.26;42.38;3.30578
0;178;179;2.0;156.4;-74.63;-131.63;260.26;43.52;3.30578
0;178;177;2.0;156.38;-70.77;-131.63;260.26;43.52;3.30578
0;178;179;2.0;156.36;-74.77;-131.63;260.26;43.52;3.311561
0;178;177;2.0;156.36;-70.59;-131.63;260.26;43.52;3.30578
0;178;179;2.0;156.39;-73.69;-131.63;260.26;44.66;3.30578
0;178;177;2.0;156.36;-71.32;-131.63;260.26;43.52;3.30578
0;178;179;2.0;156.43;-74.93;-131.63;260.26;43.52;3.317341
0;178;177;2.0;156.35;-71.38;-131.63;260.26;43.52;3.317341
0;178;179;2.0;156.4;-74.63;-131.63;260.26;43.52;3.311561
0;178;177;2.0;156.36;-71.26;-131.63;260.26;43.52;3.311561
0;178;179;2.0;156.4;-75.57;-131.63;260.26;43.52;3.317341
0;178;177;2.0;156.37;-70.52;-131.63;260.26;43.52;3.311561
0;178;179;2.0;156.41;-75.19;-131.63;260.26;43.52;3.30578
0;178;177;2.0;156.39;-70.53;-131.63;260.26;43.52;3.30578
0;178;179;2.0;156.39;-75.01;-131.63;260.26;44.66;3.30578
0;178;177;2.0;156.35;-70.79;-131.63;260.26;43.52;3.30578
0;178;179;2.0;156.41;-74.13;-131.63;260.26;43.52;3.311561
0;178;177;2.0;156.34;-70.38;-131.63;260.26;44.66;3.30578
0;178;179;2.0;156.37;-74.72;-131.63;260.26;43.52;3.3
0;178;177;2.0;156.36;-70.46;-131.63;260.26;43.52;3.30578
0;178;179;2.0;156.44;-74.73;-131.63;260.26;43.52;3.311561
0;178;177;2.0;156.36;-70.64;-131.63;260.26;43.52;3.311561
0;178;179;2.0;156.41;-74.49;-131.63;260.26;44.66;3.317341
0;178;177;2.0;156.36;-70.94;-131.63;260.26;44.66;3.311561
0;178;179;2.0;156.4;-73.18;-131.63;260.26;43.52;3.311561
0;178;177;2.0;156.37;-71.84;-131.63;260.26;43.52;3.317341
0;178;179;2.0;156.37;-74.84;-131.63;260.26;43.52;3.311561
0;178;177;2.0;156.37;-70.8;-131.63;260.26;43.52;3.30578
0;178;179;2.0;156.4;-74.61;-131.63;260.26;43.52;3.30578
0;178;177;2.0;156.36;-70.91;-131.63;260.26;44.66;3.30578
0;178;179;2.0;156.37;-74.57;-131.63;260.26;44.66;3.30578
0;178;177;2.0;156.38;-71.63;-131.63;260.26;44.66;3.30578
0;178;179;2.0;156.38;-74.21;-131.63;260.26;44.66;3.30578
0;178;177;2.0;156.35;-70.48;-131.63;260.26;44.66;3.311561
0;178;179;2.0;156.4;-74.56;-131.63;260.26;44.66;3.317341
0;178;177;2.0;156.36;-70.56;-131.63;260.26;43.52;3.317341
0;178;179;2.0;156.4;-74.11;-131.63;260.26;44.66;3.30578
0;178;177;2.0;156.36;-70.31;-131.63;260.26;43.52;3.311561
0;178;179;2.0;156.36;-74.26;-131.63;260.26;44.66;3.317341
0;178;177;2.0;156.36;-70.62;-131.63;260.26;44.66;3.30578
0;178;179;2.0;156.38;-74.33;-131.63;260.26;43.52;3.30578
0;178;177;2.0;156.36;-71.7;-131.63;260.26;44.66;3.30578
0;178;179;2.0;156.4;-74.35;-131.63;260.26;43.52;3.30578
0;178;177;2.0;156.35;-70.41;-131.63;260.26;43.52;3.30578
0;178;179;2.0;156.42;-74.74;-131.63;260.26;43.52;3.30578
0;178;177;2.0;156.37;-71.64;-131.63;260.26;43.52;3.30578
0;178;179;2.0;156.36;-74.26;-131.63;260.26;43.52;3.311561
0;178;177;2.0;156.32;-70.85;-131.63;260.26;43.52;3.317341
0;178;179;2.0;156.39;-73.66;-131.63;260.26;43.52;3.311561
0;178;177;2.0;156.35;-71.2;-131.63;260.26;44.66;3.311561
0;178;179;2.0;156.42;-74.54;-131.63;260.26;44.66;3.311561
0;178;177;2.0;156.36;-71.53;-131.63;260.26;44.66;3.311561
0;178;179;2.0;156.38;-74.38;-131.63;260.26;44.66;3.317341
0;178;177;2.0;156.35;-71.42;-131.63;260.26;44.66;3.311561
0;178;179;2.0;156.37;-75.46;-131.63;260.26;43.52;3.311561
0;178;177;2.0;156.36;-71.73;-131.63;260.26;44.66;3.311561
0;178;179;2.0;156.38;-74.37;-131.63;260.26;44.66;3.30578
0;178;177;2.0;156.34;-70.97;-131.63;260.26;43.52;3.311561
0;178;179;2.0;156.38;-74.38;-131.63;260.26;44.66;3.30578
0;178;177;2.0;156.35;-71.4;-131.63;260.26;43.52;3.30578
0;178;179;2.0;156.39;-74.6;-131.63;260.26;43.52;3.311561
0;178;177;2.0;156.34;-70.81;-131.63;260.26;44.66;3.311561
0;178;179;2.0;156.43;-74.97;-131.63;260.26;44.66;3.311561
0;178;177;2.0;156.34;-71.52;-131.63;260.26;44.66;3.317341
0;178;179;2.0;156.37;-74.52;-131.63;260.26;44.66;3.311561
0;178;177;2.0;156.35;-70.79;-131.63;260.26;44.66;3.311561
0;178;179;2.0;156.42;-74.67;-131.63;260.26;43.52;3.311561
0;178;177;2.0;156.35;-70.68;-131.63;260.26;43.52;3.317341
0;178;179;2.0;156.4;-74.36;-131.63;260.26;43.52;3.311561
0;178;177;2.0;156.37;-71.57;-131.63;260.26;44.66;3.30578
0;178;179;2.0;156.37;-74.54;-131.63;260.26;44.66;3.311561
0;178;177;2.0;156.36;-70.79;-131.63;260.26;44.66;3.311561
0;178;179;2.0;156.38;-74.08;-131.63;260.26;44.66;3.30578
0;178;177;2.0;156.35;-71.01;-131.63;260.26;43.52;3.30578
0;178;179;2.0;156.37;-75.31;-131.63;260.26;44.66;3.311561
0;178;177;2.0;156.36;-71.57;-131.63;260.26;44.66;3.311561
0;178;179;2.0;156.41;-74.45;-131.63;260.26;44.66;3.311561
0;178;177;2.0;156.38;-70.56;-131.63;260.26;44.66;3.311561
0;178;179;2.0;156.38;-74.53;-131.63;260.26;44.66;3.317341
0;178;177;2.0;156.35;-70.54;-131.63;260.26;44.66;3.311561
0;178;179;2.0;156.42;-74.49;-131.63;260.26;44.66;3.30578
0;178;177;2.0;156.36;-71.28;-131.63;260.26;44.66;3.30578
0;178;179;2.0;156.35;-74.43;-131.63;260.26;44.66;3.30578
0;178;177;2.0;156.35;-70.85;-131.63;260.26;44.66;3.30578
0;178;179;2.0;156.42;-74.63;-131.63;260.26;44.66;3.30578
0;178;177;2.0;156.37;-71.25;-131.63;260.26;44.66;3.30578
0;178;179;2.0;156.39;-74.68;-131.63;260.26;43.52;3.30578
0;178;177;2.0;156.36;-70.97;-131.63;260.26;44.66;3.30578
0;178;179;2.0;156.4;-74.3;-131.63;260.26;44.66;3.311561
0;178;177;2.0;156.34;-71.62;-131.63;260.26;44.66;3.311561
0;178;179;2.0;156.38;-75.61;-131.63;260.26;44.66;3.317341
0;178;177;2.0;156.34;-71.68;-131.63;260.26;44.66;3.317341
0;178;179;2.0;156.4;-74.03;-131.63;260.26;43.52;3.30578
0;178;177;2.0;156.36;-70.78;-131.63;260.26;43.52;3.311561
0;178;179;2.0;156.36;-75.14;-131.63;260.26;44.66;3.311561
0;178;177;2.0;156.35;-70.92;-131.63;260.26;43.52;3.311561
0;178;179;2.0;156.35;-74.6;-131.63;260.26;44.66;3.311561
0;178;177;2.0;156.35;-70.65;-131.63;260.26;44.66;3.30578
0;178;179;2.0;156.4;-74.2;-131.63;260.26;45.8;3.30578
0;178;177;2.0;156.36;-70.56;-131.63;260.26;44.66;3.30578
0;178;179;2.0;156.4;-74.47;-131.63;260.26;44.66;3.30578
0;178;177;2.0;156.36;-70.32;-131.63;260.26;44.66;3.30578
0;178;179;2.0;156.4;-73.7;-131.63;260.26;44.66;3.311561
0;178;177;2.0;156.35;-70.93;-131.63;260.26;44.66;3.311561
0;178;179;2.0;156.38;-74.96;-131.63;260.26;43.52;3.30578
0;178;177;2.0;156.35;-71.37;-131.63;260.26;44.66;3.311561
0;178;179;2.0;156.45;-73.27;-131.63;260.26;43.52;3.311561
0;178;177;2.0;156.36;-71.29;-131.63;260.26;44.66;3.311561
0;178;179;2.0;156.35;-73.89;-131.63;260.26;44.66;3.311561
0;178;177;2.0;156.38;-71.23;-131.63;260.26;44.66;3.30578
0;178;179;2.0;156.37;-74.75;-131.63;260.26;44.66;3.30578
0;178;177;2.0;156.36;-71.07;-131.63;260.26;44.66;3.30578
0;178;179;2.0;156.41;-74.08;-131.63;260.26;44.66;3.30578
0;178;177;2.0;156.36;-70.65;-131.63;260.26;44.66;3.30578
0;178;179;2.0;156.47;-73.85;-131.63;260.26;44.66;3.30578
0;178;177;2.0;156.38;-70.31;-131.63;260.26;44.66;3.311561
0;178;179;2.0;156.4;-72.75;-131.63;260.26;44.66;3.317341
0;178;177;2.0;156.36;-71.07;-131.63;260.26;44.66;3.30578
0;178;179;2.0;156.46;-74.18;-131.63;260.26;44.66;3.311561
0;178;177;2.0;156.38;-70.44;-131.63;260.26;44.66;3.317341
0;178;179;2.0;156.41;-73.69;-131.63;260.26;44.66;3.317341
0;178;177;2.0;156.35;-70.71;-131.63;260.26;44.66;3.30578
