time;sec;nsec;x;y;z;qx;qy;qz;qw
1513594435.8965116;1513594435;896511637;0.0007643794759109729;-0.0006680988451818193;0.0;0.0;0.0;0.00016871689901314986;0.9999999857673039
1513594436.0299745;1513594436;29974529;0.0003696261101156506;-0.0002832865590393918;0.0;0.0;0.0;-2.5581175304795646e-06;0.999999999996728
1513594436.0965278;1513594436;96527725;0.0009627062095155237;-0.00018347769927318236;0.0;0.0;0.0;0.00011432249647839372;0.9999999934651834
1513594436.2306;1513594436;230600037;0.0009582250628786676;-0.0007330720326676476;0.0;0.0;0.0;0.00015728015726345254;0.999999987631476
1513594436.3633041;1513594436;363304221;0.0008341380188879033;-0.0002390961467796937;0.0;0.0;0.0;5.982386554423246e-05;0.9999999982105525
1513594436.4300363;1513594436;430036291;0.0007197977355048457;-0.00048645998435653537;0.0;0.0;0.0;2.319788412319078e-05;0.9999999997309291
1513594436.4966137;1513594436;496613799;0.0013377521479845667;-2.211940344398755e-05;0.0;0.0;0.0;7.257260821545818e-05;0.9999999973666083
1513594436.6300645;1513594436;630064451;0.00039155835208534717;-0.0003761604545727826;0.0;0.0;0.0;9.086739760241412e-05;0.999999995871558
1513594436.696626;1513594436;696625866;0.00031888400439179787;-0.0002446413132560221;0.0;0.0;0.0;6.474511363297556e-05;0.9999999979040352
1513594436.763387;1513594436;763387010;0.0006521484965362478;-0.0003652539141179023;0.0;0.0;0.0;2.1223959010336533e-05;0.9999999997747717
1513594436.8966382;1513594436;896638042;0.0007000236698353757;-0.00042922070948270274;0.0;0.0;0.0;0.00012670768098692797;0.9999999919725818
1513594437.03008;1513594437;30080159;0.0008315707812891759;-0.0005448841847166819;0.0;0.0;0.0;0.00011462188654456337;0.9999999934309115
1513594437.0966065;1513594437;96606543;0.00084796736617411;-7.377407845843287e-06;0.0;0.0;0.0;3.301013606879454e-05;0.9999999994551655
1513594437.1639066;1513594437;163906458;0.0012156220914715243;0.00027171307740231354;0.0;0.0;0.0;4.817259792360745e-05;0.9999999988397004
