time;sec;nsec;x;y;z;qx;qy;qz;qw
1513594436.0106273;1513594436;10627162;0.43333819144648295;-0.184267757832819;0.0;0.0;0.0;-0.016230850213891528;0.9998682710744122
1513594436.1106226;1513594436;110622664;0.43333819144648295;-0.184267757832819;0.0;0.0;0.0;-0.016230850213891528;0.9998682710744122
1513594436.210627;1513594436;210627154;0.43333819144648295;-0.184267757832819;0.0;0.0;0.0;-0.016230850213891528;0.9998682710744122
1513594436.3106284;1513594436;310628491;0.43333819144648295;-0.184267757832819;0.0;0.0;0.0;-0.016230850213891528;0.9998682710744122
1513594436.410625;1513594436;410624950;0.43333819144648295;-0.184267757832819;0.0;0.0;0.0;-0.016230850213891528;0.9998682710744122
1513594436.5106282;1513594436;510628157;0.43333819144648295;-0.184267757832819;0.0;0.0;0.0;-0.016230850213891528;0.9998682710744122
1513594436.6106281;1513594436;610628014;0.43333819144648295;-0.184267757832819;0.0;0.0;0.0;-0.016230850213891528;0.9998682710744122
1513594436.7106228;1513594436;710622702;0.43333819144648295;-0.184267757832819;0.0;0.0;0.0;-0.016230850213891528;0.9998682710744122
1513594436.8106282;1513594436;810628155;0.43333819144648295;-0.184267757832819;0.0;0.0;0.0;-0.016230850213891528;0.9998682710744122
1513594436.9106276;1513594436;910627489;0.43333819144648295;-0.184267757832819;0.0;0.0;0.0;-0.016230850213891528;0.9998682710744122
1513594437.0106118;1513594437;10611816;0.43333819144648295;-0.184267757832819;0.0;0.0;0.0;-0.016230850213891528;0.9998682710744122
1513594437.110623;1513594437;110622778;0.43333819144648295;-0.184267757832819;0.0;0.0;0.0;-0.016230850213891528;0.9998682710744122
1513594437.210624;1513594437;210623884;0.43333819144648295;-0.184267757832819;0.0;0.0;0.0;-0.016230850213891528;0.9998682710744122
1513594437.3106232;1513594437;310623110;0.43333819144648295;-0.184267757832819;0.0;0.0;0.0;-0.016230850213891528;0.9998682710744122
1513594437.410599;1513594437;410598968;0.43333819144648295;-0.184267757832819;0.0;0.0;0.0;-0.016230850213891528;0.9998682710744122
1513594437.5106351;1513594437;510635255;0.43333819144648295;-0.184267757832819;0.0;0.0;0.0;-0.016230850213891528;0.9998682710744122
1513594437.6106298;1513594437;610629742;0.43333819144648295;-0.184267757832819;0.0;0.0;0.0;-0.016230850213891528;0.9998682710744122
1513594437.7106295;1513594437;710629440;0.43333819144648295;-0.184267757832819;0.0;0.0;0.0;-0.016230850213891528;0.9998682710744122
