time;sec;nsec;x;y;z;qx;qy;qz;qw
1518089445.3840213;1518089445;384021376;-0.002039211126725665;0.0002563256204501629;0.0;0.0;0.0;0.0005839038308463441;0.9999998295281436
1518089445.5250247;1518089445;525024765;-0.001252794051980464;0.00018932316337267805;0.0;0.0;0.0;0.0002848938709236019;0.9999999594177403
1518089445.605516;1518089445;605515867;-0.0018511395497854619;-0.00010961706195955628;0.0;0.0;0.0;0.0005290344751000056;0.9999998600612523
1518089445.7262537;1518089445;726253857;-0.002040619587047759;-6.968133579523197e-05;0.0;0.0;0.0;0.0008280443944002296;0.9999996571711817
1518089445.846986;1518089445;846986135;-0.002033361113280402;-0.0004786566771572383;0.0;0.0;0.0;0.0005839038308463441;0.9999998295281436
1518089446.068445;1518089446;68445056;-0.00164021457335708;-0.00043520658662805445;0.0;0.0;0.0;0.00041127036388600454;0.9999999154283403
1518089446.2696784;1518089446;269678448;-0.002179759131968935;-0.0006140675620822506;0.0;0.0;0.0;0.0010963003719955677;0.9999993990625666
1518089446.31587;1518089446;315870137;-0.00170789781933546;-0.000603585030319873;0.0;0.0;0.0;0.0007510335439024105;0.9999997179742682
1518089446.4569645;1518089446;456964401;-0.0013072042489647871;-0.0007228184856254838;0.0;0.0;0.0;0.0007510335439024105;0.9999997179742682
1518089446.5402749;1518089446;540274855;-0.001170929165743507;-0.0010662734603161474;0.0;0.0;0.0;0.0007510335439024105;0.9999997179742682
1518089446.6610308;1518089446;661030841;-0.0016325930719954637;-0.0009297678652624088;0.0;0.0;0.0;0.0007510335439024105;0.9999997179742682
1518089446.7817986;1518089446;781798628;-0.0017949766278616201;-0.0010043733750515857;0.0;0.0;0.0;0.0005008030939124647;0.9999998745981227
1518089446.983174;1518089446;983174003;-0.0021052440264422542;-0.001099363563513893;0.0;0.0;0.0;0.0005008030939124647;0.9999998745981227
1518089447.1241796;1518089447;124179515;-0.0016140668477689223;-0.0007806903478011753;0.0;0.0;0.0;0.0003281696204098349;0.9999999461523487
1518089447.2448175;1518089447;244817527;-0.002379907937480139;-0.0011796256032279595;0.0;0.0;0.0;0.0007141897924558265;0.9999997449664376
1518089447.4664872;1518089447;466487214;-0.003301246158818902;-0.00100217728307727;0.0;0.0;0.0;0.0007141897924558265;0.9999997449664376
1518089447.6681046;1518089447;668104559;-0.0017420018737744033;-0.0008501432493278934;0.0;0.0;0.0;0.0006426826724736883;0.9999997934794699
1518089447.7285;1518089447;728499984;-0.002480126050469411;-0.0008262182398340112;0.0;0.0;0.0;0.0006426826724736883;0.9999997934794699
1518089447.8696518;1518089447;869651696;-0.002502406434366632;-0.0012309997125337156;0.0;0.0;0.0;0.0006426826724736883;0.9999997934794699
1518089447.9098523;1518089447;909852373;-0.002728255229825863;-0.0011597413424111098;0.0;0.0;0.0;0.0006426826724736883;0.9999997934794699
1518089448.071962;1518089448;71962120;-0.002182121817057401;-0.0012523416619204687;0.0;0.0;0.0;0.0006426826724736883;0.9999997934794699
1518089448.1323195;1518089448;132319463;-0.002385326885274666;-0.0011409812491292104;0.0;0.0;0.0;0.0006426826724736883;0.9999997934794699
1518089448.2731473;1518089448;273147373;-0.001466300159538853;-0.0007431931232954788;0.0;0.0;0.0;0.0003985420811656219;0.9999999205821016
1518089448.3133802;1518089448;313380237;-0.001913438755344379;-0.0012675805788771174;0.0;0.0;0.0;0.0003985420811656219;0.9999999205821016
1518089448.5541394;1518089448;554139368;-0.0009697009504752704;-0.0009613351147169523;0.0;0.0;0.0;-1.8232021829035142e-05;0.9999999998337967
1518089448.6546428;1518089448;654642761;-0.0020145692182806543;-0.0010756998066217074;0.0;0.0;0.0;-1.8232021829035142e-05;0.9999999998337967
1518089448.8760738;1518089448;876073758;-0.0023141232295407527;-0.001128734689250084;0.0;0.0;0.0;0.00022590860124842527;0.9999999744826517
1518089448.9783938;1518089448;978393749;-0.00224145266687189;-0.0010288279328388797;0.0;0.0;0.0;0.00022590860124842527;0.9999999744826517
1518089449.0589488;1518089449;58948739;-0.0019309408767103173;-0.001121120612869593;0.0;0.0;0.0;0.00022590860124842527;0.9999999744826517
1518089449.1392617;1518089449;139261726;-0.001484099869213716;-0.0010108125686328808;0.0;0.0;0.0;-1.8232021829035196e-05;0.9999999998337967
1518089449.2599657;1518089449;259965717;-0.0019543865699354858;-0.0012518415513611933;0.0;0.0;0.0;0.00015440146610259662;0.9999999880800935
1518089449.3203263;1518089449;320326296;-0.002629946955367629;-0.0011422330705998364;0.0;0.0;0.0;0.0003985420811656218;0.9999999205821016
1518089449.4612331;1518089449;461233074;-0.0022353258692839224;-0.0008037574601387907;0.0;0.0;0.0;1.2521864846020959e-05;0.9999999999216015
1518089449.521509;1518089449;521509029;-0.0025457658506606103;-0.0011540952597812902;0.0;0.0;0.0;0.00018515535233454218;0.9999999828587476
