time;sec;nsec;x;y;z;qx;qy;qz;qw
1518089637.0451777;1518089637;45177685;-1.6017555623521645e-05;0.00031744810823501705;0.0;0.0;0.0;-0.0005886392689571711;0.9999998267518905
1518089637.5487227;1518089637;548722723;0.0012442027370253982;0.0011143672195714919;0.0;0.0;0.0;-4.623718049016618e-05;0.9999999989310616
1518089638.054281;1518089638;54281109;-0.0016751734469152527;0.046820782375695605;0.0;0.0;0.0;-0.009873781663182807;0.9999512530297003
1518089638.5576277;1518089638;557627578;0.037662046410088065;0.12881915717058265;0.0;0.0;0.0;-0.006576874520636806;0.9999783721268874
1518089639.0617268;1518089639;61726796;0.12137350855502618;0.17044830932534297;0.0;0.0;0.0;-0.0033247033179509603;0.9999944731586509
1518089639.5474234;1518089639;547423323;0.2063361609452462;0.16709734640905685;0.0;0.0;0.0;-4.254158173114667e-05;0.999999999095107
1518089640.0552905;1518089640;55290406;0.30836648505262915;0.16546171727491396;0.0;0.0;0.0;0.0018485543370674287;0.9999982914219718
1518089640.5591314;1518089640;559131478;0.3923142125997102;0.16556276536208964;0.0;0.0;0.0;0.00517725180624107;0.9999865979420598
1518089641.0626926;1518089641;62692563;0.4817061633612285;0.16296605769028585;0.0;0.0;0.0;0.006891665774536397;0.9999762521894467
1518089641.5464127;1518089641;546412652;0.56837460811052;0.1613215245210961;0.0;0.0;0.0;0.009502014755166337;0.9999548548387535
1518089642.049964;1518089642;49963862;0.6601463065375618;0.16084577503744116;0.0;0.0;0.0;0.012904138687334612;0.9999167381361
1518089642.5545924;1518089642;554592356;0.7497732646409785;0.15845965202103743;0.0;0.0;0.0;0.022495921982521157;0.9997469347260617
1518089643.0585158;1518089643;58515797;0.8374555800613731;0.16680592256815943;0.0;0.0;0.0;0.1268733138225357;0.9919189292677544
1518089643.5630195;1518089643;563019607;0.9219416119054532;0.20201108922225078;0.0;0.0;0.0;0.25603624318978424;0.9666671827331585
1518089644.0470505;1518089644;47050543;0.992990148202225;0.24717396401616912;0.0;0.0;0.0;0.3835688409471254;0.923512287007855
1518089644.5564916;1518089644;556491589;1.047771259869306;0.3187185019337071;0.0;0.0;0.0;0.5165912876460511;0.856232118953847
1518089645.0614858;1518089645;61485704;1.085629049991646;0.4073549436769243;0.0;0.0;0.0;0.6206340950166892;0.7841003252791158
1518089645.5463228;1518089645;546322799;1.106889216608121;0.4893611566448793;0.0;0.0;0.0;0.6250394381664697;0.7805931723609577
1518089646.0502043;1518089646;50204360;1.1271223450494445;0.5749883762392476;0.0;0.0;0.0;0.6335349360649114;0.7737140846496389
1518089646.5550227;1518089646;555022829;1.1473684771405912;0.6648152256699377;0.0;0.0;0.0;0.6364921487354191;0.7712831805492514
1518089647.0601964;1518089647;60196499;1.1662550237101585;0.7528778464677428;0.0;0.0;0.0;0.6405922007528558;0.7678812618723111
1518089647.563405;1518089647;563404966;1.1871244338066993;0.8425685930821001;0.0;0.0;0.0;0.6446359128284213;0.7644897251708933
1518089648.0474603;1518089648;47460298;1.203830010467805;0.9215659532517504;0.0;0.0;0.0;0.6011646017936885;0.7991252226968161
1518089648.5510979;1518089648;551097909;1.231562295663199;1.0074550671340181;0.0;0.0;0.0;0.5724018938553492;0.8199732141422728
1518089649.0562885;1518089649;56288565;1.2621906239280485;1.0921080888165036;0.0;0.0;0.0;0.5720499224461436;0.8202188038745277
1518089649.5616355;1518089649;561635590;1.2932226657769816;1.175387278292661;0.0;0.0;0.0;0.550378821237378;0.8349150574359971
1518089650.0456758;1518089650;45675732;1.3327609697255907;1.248466053690959;0.0;0.0;0.0;0.5118765243577913;0.8590590339501631
1518089650.5496576;1518089650;549657553;1.3827370918344937;1.3230578252440979;0.0;0.0;0.0;0.38143277839520584;0.9243965791616247
1518089651.0536332;1518089651;53633204;1.4469208923257049;1.3811566001279927;0.0;0.0;0.0;0.2684056426033928;0.9633059799558289
1518089651.5584078;1518089651;558407870;1.5320395744260304;1.4113363611314194;0.0;0.0;0.0;0.12892593603460262;0.9916542255330744
1518089652.061949;1518089652;61948956;1.6150975377412247;1.4315602871210067;0.0;0.0;0.0;0.08463490576355995;0.9964120295973916
1518089652.547968;1518089652;547967845;1.702002844236598;1.4455312654522892;0.0;0.0;0.0;0.08399763104646739;0.9964659542496078
1518089653.0523431;1518089653;52343179;1.7907742064087344;1.4587267976229013;0.0;0.0;0.0;0.08631296168123943;0.9962680726821536
1518089653.5566616;1518089653;556661676;1.8814150239181138;1.4700212069463383;0.0;0.0;0.0;0.030335680727278394;0.9995397673303512
1518089654.0601227;1518089654;60122718;1.9702407402789792;1.4734323997662726;0.0;0.0;0.0;-0.03755165728925005;0.9992946877847548
1518089654.5438435;1518089654;543843395;2.0476534949735656;1.458236442850798;0.0;0.0;0.0;-0.10056303100313843;0.9949306894429691
1518089655.0474944;1518089655;47494426;2.130882737530482;1.4269425518202932;0.0;0.0;0.0;-0.2048074812531192;0.9788022760612857
1518089655.551454;1518089655;551453971;2.209375811385382;1.3877064701621564;0.0;0.0;0.0;-0.3171515188151859;0.9483748805789938
1518089656.05482;1518089656;54820094;2.2700711257341464;1.3291412517935164;0.0;0.0;0.0;-0.4371778123772022;0.8993750943655733
1518089656.558567;1518089656;558567051;2.318399441101274;1.2536212296045621;0.0;0.0;0.0;-0.49398418874764116;0.8694708858077623
1518089657.062428;1518089657;62428080;2.35615839443625;1.1755701832515002;0.0;0.0;0.0;-0.5390601727310241;0.8422672557895139
1518089657.5471158;1518089657;547115856;2.382966644668278;1.0942473370392307;0.0;0.0;0.0;-0.5970927767383077;0.8021721859843667
1518089658.0561934;1518089658;56193401;2.397929810533896;1.0104982173451125;0.0;0.0;0.0;-0.685910627495837;0.7276857914569084
1518089658.5612197;1518089658;561219611;2.3942937183173783;0.9224171157754424;0.0;0.0;0.0;-0.7565436140508464;0.6539432391567972
1518089659.044821;1518089659;44821123;2.382967908669523;0.8341601238317579;0.0;0.0;0.0;-0.7648636847833289;0.6441921636434803
1518089659.5481348;1518089659;548134715;2.3571027844993444;0.752838014950393;0.0;0.0;0.0;-0.8035084049881196;0.5952934092642451
1518089660.0533724;1518089660;53372389;2.324422248078459;0.657291500051453;0.0;0.0;0.0;-0.8284742057560541;0.5600272229069542
1518089660.5569706;1518089660;556970496;2.286548910243419;0.5913958023853366;0.0;0.0;0.0;-0.8660729470514729;0.4999176436030006
1518089661.048485;1518089661;48484944;2.2308162984371775;0.5165601190263477;0.0;0.0;0.0;-0.9068841054218079;0.4213801363772232
1518089661.5535607;1518089661;553560839;2.1684244974226985;0.4543135111981013;0.0;0.0;0.0;-0.9578584224998167;0.2872407395307336
1518089662.0592303;1518089662;59230299;2.0902270173870225;0.4158206134135867;0.0;0.0;0.0;-0.9759055474267753;0.21819340618278552
1518089662.563396;1518089662;563396078;2.012139808371795;0.3858545957580163;0.0;0.0;0.0;-0.9921529339672104;0.1250302188283145
1518089663.0470824;1518089663;47082402;1.924357616537912;0.36273118904030677;0.0;0.0;0.0;-0.992515790669187;0.12211635956053722
1518089663.5511296;1518089663;551129663;1.8366019961858342;0.34379647190147333;0.0;0.0;0.0;-0.9936064491663811;0.1128991770340939
1518089664.058657;1518089664;58656996;1.7487993701761655;0.34170321911007595;0.0;0.0;0.0;0.9983170547626112;0.057991880208399994
1518089664.563093;1518089664;563092833;1.6722834625347787;0.3666357365156896;0.0;0.0;0.0;0.9733462127536425;0.22934068570173255
1518089665.0468233;1518089665;46823204;1.605452700472089;0.41050380882724946;0.0;0.0;0.0;0.9151861199891906;0.40303146996125605
1518089665.5511858;1518089665;551185847;1.5588695165466468;0.4799659455049734;0.0;0.0;0.0;0.8316314243425919;0.5553279878107279
1518089666.055795;1518089666;55795012;1.5329017988884668;0.5524230480789128;0.0;0.0;0.0;0.7953612868309898;0.6061356476982293
1518089666.5605903;1518089666;560590356;1.5117601827774672;0.643847646704407;0.0;0.0;0.0;0.724800622732027;0.6889586760374428
1518089667.0440123;1518089667;44012357;1.5085565083511405;0.7203010762797685;0.0;0.0;0.0;0.7243820873543377;0.6893987173763617
1518089667.548217;1518089667;548217161;1.5067966730737037;0.8112275018971911;0.0;0.0;0.0;0.7257701376978907;0.6879372843697199
1518089668.0519435;1518089668;51943444;1.5018090587038442;0.901392609020961;0.0;0.0;0.0;0.7272738445671489;0.686347401108592
1518089668.555948;1518089668;555947919;1.5023079181619843;0.9908068837932381;0.0;0.0;0.0;0.7272743228086137;0.6863468943495501
1518089669.060963;1518089669;60962905;1.4974797373231812;1.073793890238742;0.0;0.0;0.0;0.7546387898035853;0.6561404551799714
1518089669.5447006;1518089669;544700724;1.479082065271323;1.1617068638491603;0.0;0.0;0.0;0.8100581819480706;0.5863495048680323
1518089670.0548773;1518089670;54877258;1.4400247783486617;1.2507101551075714;0.0;0.0;0.0;0.8703281623524621;0.49247222238029464
1518089670.5586426;1518089670;558642578;1.3852655164990677;1.3226068306432512;0.0;0.0;0.0;0.9158151275898501;0.4016001146384133
1518089671.0624819;1518089671;62481963;1.3150246305674032;1.3836131642404836;0.0;0.0;0.0;0.9536927551743549;0.3007825272982922
