time;sec;nsec;id;range
1518089634.7936466;1518089634;793646512;1;2.3469031626086054
1518089634.7936466;1518089634;793646512;2;2.256982393997794
1518089634.7936466;1518089634;793646512;3;3.8310560531783957
1518089634.7936466;1518089634;793646512;4;5.390073982941781
1518089634.994887;1518089634;994887036;1;2.0601233154420227
1518089634.994887;1518089634;994887036;2;2.3732306258500535
1518089634.994887;1518089634;994887036;3;4.191494859468825
1518089634.994887;1518089634;994887036;4;5.468732766505818
1518089635.1990116;1518089635;199011674;1;2.1144526245689788
1518089635.1990116;1518089635;199011674;2;2.430946033644113
1518089635.1990116;1518089635;199011674;3;3.8941137521037
1518089635.1990116;1518089635;199011674;4;5.258269163167574
1518089635.4002829;1518089635;400282872;1;2.1494233087586614
1518089635.4002829;1518089635;400282872;2;2.312606548341391
1518089635.4002829;1518089635;400282872;3;4.050477724879895
1518089635.4002829;1518089635;400282872;4;5.295747702702206
1518089635.6017177;1518089635;601717600;1;2.2349599700213627
1518089635.6017177;1518089635;601717600;2;2.3931312522451016
1518089635.6017177;1518089635;601717600;3;4.137293984902607
1518089635.6017177;1518089635;601717600;4;5.326950783677696
1518089635.8029788;1518089635;802978788;1;2.0838790613793545
1518089635.8029788;1518089635;802978788;2;2.302584733712276
1518089635.8029788;1518089635;802978788;3;4.168792168496715
1518089635.8029788;1518089635;802978788;4;5.1988621455679
1518089636.0042915;1518089636;4291497;1;2.2042663357226475
1518089636.0042915;1518089636;4291497;2;2.275812625953516
1518089636.0042915;1518089636;4291497;3;4.108888440103645
1518089636.0042915;1518089636;4291497;4;5.34673034755885
1518089636.2061331;1518089636;206133019;1;2.024672807560888
1518089636.2061331;1518089636;206133019;2;2.257201817856275
1518089636.2061331;1518089636;206133019;3;3.8953925846919137
1518089636.2061331;1518089636;206133019;4;5.258190773326198
1518089636.407313;1518089636;407313092;1;2.18284582507807
1518089636.407313;1518089636;407313092;2;2.434961368706659
1518089636.407313;1518089636;407313092;3;4.124249568983697
1518089636.407313;1518089636;407313092;4;5.323287727532156
1518089636.6097832;1518089636;609783206;1;2.1647966668001986
1518089636.6097832;1518089636;609783206;2;2.272009703330188
1518089636.6097832;1518089636;609783206;3;3.9121671279502954
1518089636.6097832;1518089636;609783206;4;5.348194961611598
1518089636.7908397;1518089636;790839553;1;2.19357993350555
1518089636.7908397;1518089636;790839553;2;2.362263478680926
1518089636.7908397;1518089636;790839553;3;4.013215528503351
1518089636.7908397;1518089636;790839553;4;5.339231648673702
1518089636.9922094;1518089636;992209316;1;2.0112194623999686
1518089636.9922094;1518089636;992209316;2;2.3593338326306093
1518089636.9922094;1518089636;992209316;3;3.8267398595326405
1518089636.9922094;1518089636;992209316;4;5.3158076168395665
1518089637.19355;1518089637;193550067;1;1.972843552394829
1518089637.19355;1518089637;193550067;2;2.328761188998976
1518089637.19355;1518089637;193550067;3;4.100474511276188
1518089637.19355;1518089637;193550067;4;5.276922508769992
1518089637.3948917;1518089637;394891739;1;2.2327387834489287
1518089637.3948917;1518089637;394891739;2;2.388233158423919
1518089637.3948917;1518089637;394891739;3;3.999611293709142
1518089637.3948917;1518089637;394891739;4;5.289672740272103
1518089637.5966878;1518089637;596687772;1;2.369575038539847
1518089637.5966878;1518089637;596687772;2;2.262420603306985
1518089637.5966878;1518089637;596687772;3;3.8870843947613367
1518089637.5966878;1518089637;596687772;4;5.35970583793936
1518089637.7982817;1518089637;798281664;1;2.216782992289065
1518089637.7982817;1518089637;798281664;2;2.463846115549116
1518089637.7982817;1518089637;798281664;3;3.996469131497157
1518089637.7982817;1518089637;798281664;4;5.307214707123354
1518089637.9996145;1518089637;999614512;1;2.3300842565337363
1518089637.9996145;1518089637;999614512;2;2.422993435370083
1518089637.9996145;1518089637;999614512;3;4.133848813305246
1518089637.9996145;1518089637;999614512;4;5.538430111947782
1518089638.2009678;1518089638;200967864;1;1.9912650615518617
1518089638.2009678;1518089638;200967864;2;2.3038519007867664
1518089638.2009678;1518089638;200967864;3;4.117837107082765
1518089638.2009678;1518089638;200967864;4;5.225228981471697
1518089638.4045393;1518089638;404539329;1;1.946705047594365
1518089638.4045393;1518089638;404539329;2;2.3708527193987083
1518089638.4045393;1518089638;404539329;3;3.8036696656896836
1518089638.4045393;1518089638;404539329;4;5.286472706302715
1518089638.6059299;1518089638;605929762;1;2.166854792226341
1518089638.6059299;1518089638;605929762;2;2.3085036595861426
1518089638.6059299;1518089638;605929762;3;3.856867158228791
1518089638.6059299;1518089638;605929762;4;5.15141342434324
1518089638.807307;1518089638;807306955;1;2.1828679159913142
1518089638.807307;1518089638;807306955;2;2.1292936873208475
1518089638.807307;1518089638;807306955;3;3.890643389972515
1518089638.807307;1518089638;807306955;4;5.301503738060404
1518089639.0087986;1518089639;8798504;1;1.9764854419781566
1518089639.0087986;1518089639;8798504;2;2.014925285600965
1518089639.0087986;1518089639;8798504;3;3.88326634443945
1518089639.0087986;1518089639;8798504;4;5.010548815638733
1518089639.1899204;1518089639;189920475;1;1.9004878346825427
1518089639.1899204;1518089639;189920475;2;2.0216376521952855
1518089639.1899204;1518089639;189920475;3;3.97392760550957
1518089639.1899204;1518089639;189920475;4;5.369580927196329
1518089639.3926861;1518089639;392686244;1;1.9033409891372521
1518089639.3926861;1518089639;392686244;2;2.15798428690353
1518089639.3926861;1518089639;392686244;3;3.8546188967514636
1518089639.3926861;1518089639;392686244;4;5.322418363241911
1518089639.594019;1518089639;594018891;1;2.0760495468111815
1518089639.594019;1518089639;594018891;2;1.982667218609046
1518089639.594019;1518089639;594018891;3;4.01077725683869
1518089639.594019;1518089639;594018891;4;5.119710138025193
1518089639.7955728;1518089639;795572708;1;1.9268461214647354
1518089639.7955728;1518089639;795572708;2;2.0283052303323674
1518089639.7955728;1518089639;795572708;3;3.835798061915526
1518089639.7955728;1518089639;795572708;4;4.939810954731285
1518089639.997293;1518089639;997293015;1;1.8313628583861103
1518089639.997293;1518089639;997293015;2;1.8207590744348467
1518089639.997293;1518089639;997293015;3;3.8691404349028407
1518089639.997293;1518089639;997293015;4;5.236644399666813
1518089640.1989336;1518089640;198933658;1;1.8085891079556269
1518089640.1989336;1518089640;198933658;2;2.0469143813857986
1518089640.1989336;1518089640;198933658;3;3.611074524156931
1518089640.1989336;1518089640;198933658;4;5.082906657440165
1518089640.4005127;1518089640;400512739;1;1.931180718351813
1518089640.4005127;1518089640;400512739;2;1.726087884686268
1518089640.4005127;1518089640;400512739;3;3.540762754667218
1518089640.4005127;1518089640;400512739;4;4.853466041774823
1518089640.6019163;1518089640;601916208;1;1.65199997999775
1518089640.6019163;1518089640;601916208;2;2.0216667381330797
1518089640.6019163;1518089640;601916208;3;3.5108310628225623
1518089640.6019163;1518089640;601916208;4;5.005210967267557
1518089640.8031943;1518089640;803194336;1;1.6834148382743364
1518089640.8031943;1518089640;803194336;2;1.6276173169347907
1518089640.8031943;1518089640;803194336;3;3.4627994221461527
1518089640.8031943;1518089640;803194336;4;5.052069141130561
1518089641.0047805;1518089641;4780503;1;1.8408577766640322
1518089641.0047805;1518089641;4780503;2;1.8562414891384003
1518089641.0047805;1518089641;4780503;3;3.357803520422204
1518089641.0047805;1518089641;4780503;4;4.810885754705164
1518089641.2080119;1518089641;208011894;1;1.611651011302247
1518089641.2080119;1518089641;208011894;2;1.6171699022091448
1518089641.2080119;1518089641;208011894;3;3.514640142935169
1518089641.2080119;1518089641;208011894;4;4.963738240912405
1518089641.389304;1518089641;389303831;1;1.5552820572202488
1518089641.389304;1518089641;389303831;2;1.765359228898308
1518089641.389304;1518089641;389303831;3;3.373170680616594
1518089641.389304;1518089641;389303831;4;4.903096059271316
1518089641.5928202;1518089641;592820263;1;1.6303020370156862
1518089641.5928202;1518089641;592820263;2;1.8224226529535488
1518089641.5928202;1518089641;592820263;3;3.387135222908737
1518089641.5928202;1518089641;592820263;4;4.788629373523412
1518089641.7941563;1518089641;794156373;1;1.4359027875827628
1518089641.7941563;1518089641;794156373;2;1.6843262112570805
1518089641.7941563;1518089641;794156373;3;3.55704881451191
1518089641.7941563;1518089641;794156373;4;4.852354691932903
1518089641.9956512;1518089641;995651290;1;1.4792470365049404
1518089641.9956512;1518089641;995651290;2;1.8230604023567005
1518089641.9956512;1518089641;995651290;3;3.4949577394170817
1518089641.9956512;1518089641;995651290;4;4.646631837008018
1518089642.1973636;1518089642;197363655;1;1.6462992069437299
1518089642.1973636;1518089642;197363655;2;1.7000463480168855
1518089642.1973636;1518089642;197363655;3;3.2020055053930587
1518089642.1973636;1518089642;197363655;4;4.7822972858557105
1518089642.3986847;1518089642;398684733;1;1.4031561550508722
1518089642.3986847;1518089642;398684733;2;1.5510854593351155
1518089642.3986847;1518089642;398684733;3;3.48850667150022
1518089642.3986847;1518089642;398684733;4;4.667023026651626
1518089642.5999918;1518089642;599991841;1;1.281104105603947
1518089642.5999918;1518089642;599991841;2;1.7639616875612685
1518089642.5999918;1518089642;599991841;3;3.231803146559737
1518089642.5999918;1518089642;599991841;4;4.627608159997277
1518089642.801418;1518089642;801418055;1;1.5377449800202463
1518089642.801418;1518089642;801418055;2;1.6361306983820276
1518089642.801418;1518089642;801418055;3;3.2331898726836164
1518089642.801418;1518089642;801418055;4;4.711971437362021
1518089643.002665;1518089643;2664980;1;1.5341504991020884
1518089643.002665;1518089643;2664980;2;1.5039444507877973
1518089643.002665;1518089643;2664980;3;3.2363311218857134
1518089643.002665;1518089643;2664980;4;4.569674794671129
1518089643.2049682;1518089643;204968199;1;1.3007803343342645
1518089643.2049682;1518089643;204968199;2;1.4732071342528006
1518089643.2049682;1518089643;204968199;3;3.1293932609647523
1518089643.2049682;1518089643;204968199;4;4.323436995004918
1518089643.4061477;1518089643;406147679;1;1.51612362254238
1518089643.4061477;1518089643;406147679;2;1.5874332285790638
1518089643.4061477;1518089643;406147679;3;3.193758147827282
1518089643.4061477;1518089643;406147679;4;4.304298577362775
1518089643.6075203;1518089643;607520348;1;1.2103712517108938
1518089643.6075203;1518089643;607520348;2;1.4560682166876677
1518089643.6075203;1518089643;607520348;3;2.99342470404311
1518089643.6075203;1518089643;607520348;4;4.414746784729197
1518089643.809087;1518089643;809087035;1;1.3822012021125674
1518089643.809087;1518089643;809087035;2;1.4790173140369274
1518089643.809087;1518089643;809087035;3;2.928734978345074
1518089643.809087;1518089643;809087035;4;4.200982507042821
1518089643.9910235;1518089643;991023498;1;1.2311349597693715
1518089643.9910235;1518089643;991023498;2;1.4623297584599138
1518089643.9910235;1518089643;991023498;3;3.0279773426748293
1518089643.9910235;1518089643;991023498;4;4.163896214299203
1518089644.1925392;1518089644;192539196;1;0.9280835390577675
1518089644.1925392;1518089644;192539196;2;1.1432625161026941
1518089644.1925392;1518089644;192539196;3;3.1708263386319753
1518089644.1925392;1518089644;192539196;4;4.314500283500575
1518089644.3938756;1518089644;393875536;1;1.2324760051951074
1518089644.3938756;1518089644;393875536;2;1.3699361898314024
1518089644.3938756;1518089644;393875536;3;3.1095340779603657
1518089644.3938756;1518089644;393875536;4;4.378648031605936
1518089644.5951753;1518089644;595175186;1;1.1146857827215433
1518089644.5951753;1518089644;595175186;2;1.5226170023117513
1518089644.5951753;1518089644;595175186;3;2.871884156878785
1518089644.5951753;1518089644;595175186;4;4.410394550589669
1518089644.7965302;1518089644;796530130;1;1.2551521703916073
1518089644.7965302;1518089644;796530130;2;1.4197595267469667
1518089644.7965302;1518089644;796530130;3;2.863576083347306
1518089644.7965302;1518089644;796530130;4;4.41618076848375
1518089644.9990003;1518089644;999000335;1;0.9987150032267293
1518089644.9990003;1518089644;999000335;2;1.240128952528145
1518089644.9990003;1518089644;999000335;3;2.975959280910939
1518089644.9990003;1518089644;999000335;4;4.241224868744843
1518089645.200482;1518089645;200481784;1;1.1150083015525791
1518089645.200482;1518089645;200481784;2;1.0561172169893727
1518089645.200482;1518089645;200481784;3;2.9148275238661183
1518089645.200482;1518089645;200481784;4;4.199778775982065
1518089645.4019303;1518089645;401930307;1;0.8548661440251715
1518089645.4019303;1518089645;401930307;2;1.2276130973796557
1518089645.4019303;1518089645;401930307;3;3.112365361948838
1518089645.4019303;1518089645;401930307;4;4.204630236796211
1518089645.603585;1518089645;603584936;1;0.9948348972115798
1518089645.603585;1518089645;603584936;2;1.1855446277388768
1518089645.603585;1518089645;603584936;3;2.868786851311997
1518089645.603585;1518089645;603584936;4;4.128879993429304
1518089645.8055587;1518089645;805558568;1;1.1138673943839579
1518089645.8055587;1518089645;805558568;2;1.0465534417258813
1518089645.8055587;1518089645;805558568;3;3.0851620616187234
1518089645.8055587;1518089645;805558568;4;4.098331565845528
1518089646.006842;1518089646;6841916;1;0.8597572452468835
1518089646.006842;1518089646;6841916;2;1.0601777550336744
1518089646.006842;1518089646;6841916;3;3.0012581460116405
1518089646.006842;1518089646;6841916;4;4.2923497333066996
1518089646.208446;1518089646;208446012;1;0.9673768214246719
1518089646.208446;1518089646;208446012;2;1.190716541637643
1518089646.208446;1518089646;208446012;3;2.9349536255531925
1518089646.208446;1518089646;208446012;4;3.9895653956972152
1518089646.3898194;1518089646;389819491;1;0.8421216682530704
1518089646.3898194;1518089646;389819491;2;1.1781533823186794
1518089646.3898194;1518089646;389819491;3;3.15907962185683
1518089646.3898194;1518089646;389819491;4;4.117365703522946
1518089646.594637;1518089646;594636964;1;0.9761604101005441
1518089646.594637;1518089646;594636964;2;1.1120662135660164
1518089646.594637;1518089646;594636964;3;2.9183327387206774
1518089646.594637;1518089646;594636964;4;4.2456124005360865
1518089646.7960134;1518089646;796013401;1;0.6995293811836187
1518089646.7960134;1518089646;796013401;2;1.1533450588261116
1518089646.7960134;1518089646;796013401;3;2.895597056632593
1518089646.7960134;1518089646;796013401;4;4.145115366434417
1518089646.997488;1518089646;997488050;1;0.9206850460764023
1518089646.997488;1518089646;997488050;2;0.9243542458549107
1518089646.997488;1518089646;997488050;3;2.9932817969108974
1518089646.997488;1518089646;997488050;4;3.8915793535732295
1518089647.198959;1518089647;198959194;1;0.7059755546698184
1518089647.198959;1518089647;198959194;2;1.1101211050668756
1518089647.198959;1518089647;198959194;3;2.969761473655709
1518089647.198959;1518089647;198959194;4;3.937468956150907
1518089647.4003558;1518089647;400355784;1;0.9875932661568799
1518089647.4003558;1518089647;400355784;2;0.9173790243662122
1518089647.4003558;1518089647;400355784;3;2.836851543145808
1518089647.4003558;1518089647;400355784;4;4.106529112298815
1518089647.6018772;1518089647;601877321;1;0.8656843035419427
1518089647.6018772;1518089647;601877321;2;0.9917780124484878
1518089647.6018772;1518089647;601877321;3;2.958066764577096
1518089647.6018772;1518089647;601877321;4;4.138140323841566
1518089647.8044887;1518089647;804488548;1;0.6925825739016123
1518089647.8044887;1518089647;804488548;2;0.8870597094829358
1518089647.8044887;1518089647;804488548;3;2.9067214568005815
1518089647.8044887;1518089647;804488548;4;3.774326481932096
1518089648.0058975;1518089648;5897601;1;0.6392943757970122
1518089648.0058975;1518089648;5897601;2;0.7629370239570217
1518089648.0058975;1518089648;5897601;3;3.1039672397172775
1518089648.0058975;1518089648;5897601;4;3.8123693925788036
1518089648.2072554;1518089648;207255444;1;0.5916228013807602
1518089648.2072554;1518089648;207255444;2;0.6407267413914826
1518089648.2072554;1518089648;207255444;3;2.8289791251279346
1518089648.2072554;1518089648;207255444;4;4.056303339199872
1518089648.408588;1518089648;408587831;1;0.8120266986342436
1518089648.408588;1518089648;408587831;2;0.6863079928846512
1518089648.408588;1518089648;408587831;3;2.911554274343797
1518089648.408588;1518089648;408587831;4;4.022379788333271
1518089648.5901358;1518089648;590135756;1;0.695239398350227
1518089648.5901358;1518089648;590135756;2;0.757296114865696
1518089648.5901358;1518089648;590135756;3;3.145284792702505
1518089648.5901358;1518089648;590135756;4;3.9069051567212267
1518089648.7917066;1518089648;791706585;1;0.7498157599202673
1518089648.7917066;1518089648;791706585;2;0.7945101339140603
1518089648.7917066;1518089648;791706585;3;2.9841676573701204
1518089648.7917066;1518089648;791706585;4;3.848853772937432
1518089648.993132;1518089648;993132146;1;0.769249324306238
1518089648.993132;1518089648;993132146;2;0.6570803399199627
1518089648.993132;1518089648;993132146;3;2.976756214860521
1518089648.993132;1518089648;993132146;4;4.028569913507343
1518089649.194505;1518089649;194504938;1;0.9186644828970857
1518089649.194505;1518089649;194504938;2;0.9422739320552018
1518089649.194505;1518089649;194504938;3;2.897654033693451
1518089649.194505;1518089649;194504938;4;3.865695906451508
1518089649.3958125;1518089649;395812406;1;0.9608674836518925
1518089649.3958125;1518089649;395812406;2;0.774064939259945
1518089649.3958125;1518089649;395812406;3;2.870349771433077
1518089649.3958125;1518089649;395812406;4;3.9709545324444813
1518089649.5973265;1518089649;597326508;1;0.7428356353777987
1518089649.5973265;1518089649;597326508;2;0.6473533770551079
1518089649.5973265;1518089649;597326508;3;2.8592471198433715
1518089649.5973265;1518089649;597326508;4;4.030005288654599
1518089649.7988818;1518089649;798881732;1;0.8219392427517118
1518089649.7988818;1518089649;798881732;2;0.8435999536698425
1518089649.7988818;1518089649;798881732;3;2.9042205176102684
1518089649.7988818;1518089649;798881732;4;3.81140086940023
1518089650.0002842;1518089650;284282;1;0.5180476095798194
1518089650.0002842;1518089650;284282;2;0.7731947464383748
1518089650.0002842;1518089650;284282;3;2.8650527497781764
1518089650.0002842;1518089650;284282;4;3.6542394778544733
1518089650.201404;1518089650;201403993;1;0.6776953532501843
1518089650.201404;1518089650;201403993;2;0.6543953267894413
1518089650.201404;1518089650;201403993;3;3.0004106096457948
1518089650.201404;1518089650;201403993;4;3.8096758697978657
1518089650.4026384;1518089650;402638540;1;0.8514549439975263
1518089650.4026384;1518089650;402638540;2;0.4639484088332962
1518089650.4026384;1518089650;402638540;3;3.0355711407679986
1518089650.4026384;1518089650;402638540;4;3.8209149563533757
1518089650.6066039;1518089650;606603919;1;0.7375418830971564
1518089650.6066039;1518089650;606603919;2;0.7257558437265365
1518089650.6066039;1518089650;606603919;3;3.0706233875505875
1518089650.6066039;1518089650;606603919;4;3.668313918812162
1518089650.8077445;1518089650;807744510;1;0.74169895312612
1518089650.8077445;1518089650;807744510;2;0.5147653243811505
1518089650.8077445;1518089650;807744510;3;2.916221907345985
1518089650.8077445;1518089650;807744510;4;3.8346584943838224
1518089651.0090864;1518089651;9086395;1;0.6099529469589815
1518089651.0090864;1518089651;9086395;2;0.5141100774342187
1518089651.0090864;1518089651;9086395;3;2.811617534664777
1518089651.0090864;1518089651;9086395;4;3.849692751844801
1518089651.1903708;1518089651;190370690;1;0.9930107393712438
1518089651.1903708;1518089651;190370690;2;0.6088559149272956
1518089651.1903708;1518089651;190370690;3;2.9763391979672127
1518089651.1903708;1518089651;190370690;4;3.8222508814760845
1518089651.3917065;1518089651;391706392;1;0.7609188694266261
1518089651.3917065;1518089651;391706392;2;0.6556192021563244
1518089651.3917065;1518089651;391706392;3;3.0692569817727864
1518089651.3917065;1518089651;391706392;4;3.554074111870556
1518089651.5933964;1518089651;593396427;1;0.7926890115519243
1518089651.5933964;1518089651;593396427;2;0.40283108514863314
1518089651.5933964;1518089651;593396427;3;2.8201087781935916
