time;sec;nsec;beacon_id;pdf_type;mean_x;mean_y;cov_00;cov_01;cov_10;cov_11
1518098008.131001;1518098008;131000995;178;2;-0.0009721327002085006;-0.0032824178870821657;17.331786165062567;-5.15716501761363e-16;-5.15716501761363e-16;17.331786165062574
1518098008.15836;1518098008;158360004;178;2;-0.0009721327002085006;-0.0032824178870821657;17.331786165062567;-5.15716501761363e-16;-5.15716501761363e-16;17.331786165062574
1518098008.323522;1518098008;323522090;178;2;-0.0009721327002085006;-0.0032824178870821657;17.331786165062567;-5.15716501761363e-16;-5.15716501761363e-16;17.331786165062574
1518098008.323522;1518098008;323522090;179;2;-0.001242657396568721;-0.0028880984721053487;9.721666467677618;1.4802973661668753e-16;1.4802973661668753e-16;9.721666467677622
1518098008.627551;1518098008;627551078;178;2;2.0845435410353894;5.106475192735362;1.530409727828302;-0.6020227992702526;-0.6020227992702526;0.2989801088540808
1518098008.627551;1518098008;627551078;179;2;0.002113812408870782;0.00013593498531294426;9.721666467677618;1.572815951552305e-16;1.572815951552305e-16;9.721666467677618
1518098008.656078;1518098008;656078100;178;2;2.0845435410353894;5.106475192735362;1.530409727828302;-0.6020227992702526;-0.6020227992702526;0.2989801088540808
1518098008.656078;1518098008;656078100;179;2;-0.5069236601058718;-0.8480375016118986;9.645589023219207;-0.7111027812358817;-0.7111027812358817;8.887501854782483
1518098008.792633;1518098008;792633056;178;2;1.8230740361708995;5.216986281545901;1.6211936620631566;-0.5488589531382719;-0.5488589531382719;0.24816693428356706
1518098008.792633;1518098008;792633056;179;2;-0.5069236601058718;-0.8480375016118986;9.645589023219207;-0.7111027812358817;-0.7111027812358817;8.887501854782483
1518098008.971894;1518098008;971894025;178;2;1.8230740361708995;5.216986281545901;1.6211936620631566;-0.5488589531382719;-0.5488589531382719;0.24816693428356706
1518098008.971894;1518098008;971894025;179;2;-0.5069236601058718;-0.8480375016118986;9.645589023219207;-0.7111027812358817;-0.7111027812358817;8.887501854782483
1518098008.971894;1518098008;971894025;177;2;0.03269297450033113;0.030391814082235725;2.839447826329263;5.181040781584064e-17;5.181040781584064e-17;2.839447826329264
1518098009.152272;1518098009;152271986;178;2;-0.15929950874158053;5.516231723743597;2.0332201848896543;0.05130401749546772;0.05130401749546771;0.07127343771978961
1518098009.152272;1518098009;152271986;179;2;3.139025899951483;2.63083201031215;1.1829798196479018;-1.1636514975296857;-1.1636514975296857;1.5043717746825238
1518098009.152272;1518098009;152271986;177;2;0.015094209017923814;0.056896247615382936;2.839447826329263;2.4424906541753446e-16;2.4424906541753446e-16;2.839447826329264
1518098009.316822;1518098009;316822052;178;2;1.7472667710161631;5.216460627951176;1.934430195775369;-0.634606443003258;-0.634606443003258;0.2941583373036726
1518098009.316822;1518098009;316822052;179;2;2.8812605589498954;2.989405276387864;1.1792395091899182;-1.0139167674312473;-1.0139167674312473;1.0776676766063
1518098009.316822;1518098009;316822052;177;2;0.051526088052685874;0.055801897535264725;2.8394478263292626;1.258252761241844e-16;1.258252761241844e-16;2.839447826329264
1518098009.453556;1518098009;453556060;178;2;-0.43135006007692916;5.573079354152843;1.3108531963360666;0.06990789390956029;0.06990789390956029;0.03594559470120999
1518098009.453556;1518098009;453556060;177;2;0.015094209017923814;0.056896247615382936;2.839447826329263;2.4424906541753446e-16;2.4424906541753446e-16;2.839447826329264
1518098009.481989;1518098009;481988906;178;2;0.8369723930059827;5.526271413439297;1.1999260531534666;-0.22502825533237691;-0.22502825533237691;0.0773121107669163
1518098009.481989;1518098009;481988906;179;2;3.316844416216231;2.6467924538771643;0.5418066670771736;-0.6367675110715688;-0.6367675110715688;0.8636739615013665
1518098009.481989;1518098009;481988906;177;2;0.04142903162464126;0.04071680065892121;2.839447826329263;1.554312234475219e-16;1.554312234475219e-16;2.839447826329264
1518098009.648027;1518098009;648026943;178;2;-0.43135006007692916;5.573079354152843;1.3108531963360666;0.06990789390956029;0.06990789390956029;0.03594559470120999
1518098009.648027;1518098009;648026943;179;2;2.7503725486028925;3.2407556828151622;0.7173762361570888;-0.6246139670646418;-0.6246139670646418;0.6274238929757547
1518098009.648027;1518098009;648026943;177;2;0.015094209017923814;0.056896247615382936;2.839447826329263;2.4424906541753446e-16;2.4424906541753446e-16;2.839447826329264
1518098009.786268;1518098009;786267995;178;2;-0.2401297160902421;5.626313457019083;0.8698941607670815;0.017257365806638208;0.017257365806638208;0.015060652701970463
1518098009.786268;1518098009;786267995;179;2;2.7503725486028925;3.2407556828151622;0.7173762361570888;-0.6246139670646418;-0.6246139670646418;0.6274238929757547
1518098009.786268;1518098009;786267995;177;2;0.015094209017923814;0.056896247615382936;2.839447826329263;2.4424906541753446e-16;2.4424906541753446e-16;2.839447826329264
1518098009.951107;1518098009;951107025;178;2;2.1385009539135424;5.230699297556773;0.5655231014749311;-0.2651142761424501;-0.2651142761424501;0.13995261645600465
1518098009.951107;1518098009;951107025;179;2;1.710358892986783;3.9653433079527933;0.596767217986808;-0.2990547418155914;-0.2990547418155914;0.18725185649888698
1518098009.951107;1518098009;951107025;177;2;0.04142903162464126;0.04071680065892121;2.839447826329263;1.554312234475219e-16;1.554312234475219e-16;2.839447826329264
1518098010.144921;1518098010;144921064;178;2;1.269516004752642;5.179834688560987;3.5003699230336687;-1.455702988139531;-1.455702988139531;0.761404709404499
1518098010.144921;1518098010;144921064;179;2;2.4578991504347223;3.383896655482127;1.3104083561325675;-0.9223737513011355;-0.9223737513011355;0.7557269398039762
