time;sec;nsec;id;x;y;z;qx;qy;qz;qw
1513594437.284488;1513594437;284487967;80;0.41605027636668435;-0.16988800391529263;0.0;0.0;0.0;-0.007958352824277813;0.999968331808725
1513594437.284488;1513594437;284487967;80;0.4298732756153402;-0.23511756971474773;0.0;0.0;0.0;-0.05049406822393428;0.9987243609095537
1513594437.284488;1513594437;284487967;80;0.4614497002392589;-0.1858393531211908;0.0;0.0;0.0;-0.003067858079973301;0.9999952941123279
1513594437.284488;1513594437;284487967;80;0.3984503566783667;-0.2296896803305572;0.0;0.0;0.0;-0.06830636701440626;0.9976643925816403
1513594437.284488;1513594437;284487967;80;0.43841153512153497;-0.19123850000731904;0.0;0.0;0.0;0.02402722360394199;0.9997113045904233
1513594437.284488;1513594437;284487967;80;0.47094316027667826;-0.15157448915311397;0.0;0.0;0.0;0.009228472686091865;0.999957416739274
1513594437.284488;1513594437;284487967;80;0.4402881408463268;-0.142636616929713;0.0;0.0;0.0;-0.010964252205721777;0.9999398907802255
1513594437.284488;1513594437;284487967;80;0.3859064167499375;-0.20772042239518082;0.0;0.0;0.0;-0.020140449303150593;0.9997971605790182
1513594437.284488;1513594437;284487967;80;0.4676873258432663;-0.19748754308835445;0.0;0.0;0.0;-0.025237233266461993;0.999681490304314
1513594437.284488;1513594437;284487967;80;0.4426282855365247;-0.12941878386320077;0.0;0.0;0.0;-0.014327890027898785;0.9998973505152159
1513594437.354906;1513594437;354905975;80;0.41605027636668435;-0.16988800391529263;0.0;0.0;0.0;-0.007958352824277813;0.999968331808725
1513594437.354906;1513594437;354905975;80;0.4298732756153402;-0.23511756971474773;0.0;0.0;0.0;-0.05049406822393428;0.9987243609095537
1513594437.354906;1513594437;354905975;80;0.4614497002392589;-0.1858393531211908;0.0;0.0;0.0;-0.003067858079973301;0.9999952941123279
1513594437.354906;1513594437;354905975;80;0.3984503566783667;-0.2296896803305572;0.0;0.0;0.0;-0.06830636701440626;0.9976643925816403
1513594437.354906;1513594437;354905975;80;0.43841153512153497;-0.19123850000731904;0.0;0.0;0.0;0.02402722360394199;0.9997113045904233
1513594437.354906;1513594437;354905975;80;0.47094316027667826;-0.15157448915311397;0.0;0.0;0.0;0.009228472686091865;0.999957416739274
1513594437.354906;1513594437;354905975;80;0.4402881408463268;-0.142636616929713;0.0;0.0;0.0;-0.010964252205721777;0.9999398907802255
1513594437.354906;1513594437;354905975;80;0.3859064167499375;-0.20772042239518082;0.0;0.0;0.0;-0.020140449303150593;0.9997971605790182
1513594437.354906;1513594437;354905975;80;0.4676873258432663;-0.19748754308835445;0.0;0.0;0.0;-0.025237233266461993;0.999681490304314
1513594437.354906;1513594437;354905975;80;0.4426282855365247;-0.12941878386320077;0.0;0.0;0.0;-0.014327890027898785;0.9998973505152159
1513594437.415286;1513594437;415285991;80;0.41542116991540495;-0.16296199487011048;0.0;0.0;0.0;-0.0041249475812652255;0.999991492367536
1513594437.415286;1513594437;415285991;80;0.41542116991540495;-0.16296199487011048;0.0;0.0;0.0;-0.0041249475812652255;0.999991492367536
1513594437.415286;1513594437;415285991;80;0.43137372871720636;-0.2425151102734573;0.0;0.0;0.0;-0.04477142627483388;0.9989972569478442
1513594437.415286;1513594437;415285991;80;0.43137372871720636;-0.2425151102734573;0.0;0.0;0.0;-0.04477142627483388;0.9989972569478442
1513594437.415286;1513594437;415285991;80;0.43137372871720636;-0.2425151102734573;0.0;0.0;0.0;-0.04477142627483388;0.9989972569478442
1513594437.415286;1513594437;415285991;80;0.43137372871720636;-0.2425151102734573;0.0;0.0;0.0;-0.04477142627483388;0.9989972569478442
1513594437.415286;1513594437;415285991;80;0.4366265032671919;-0.19123759248540892;0.0;0.0;0.0;0.014564817405571806;0.9998939274212753
1513594437.415286;1513594437;415285991;80;0.43612981396122985;-0.1487097472538528;0.0;0.0;0.0;-0.010577451162161007;0.9999440571986575
1513594437.415286;1513594437;415285991;80;0.43612981396122985;-0.1487097472538528;0.0;0.0;0.0;-0.010577451162161007;0.9999440571986575
1513594437.415286;1513594437;415285991;80;0.43612981396122985;-0.1487097472538528;0.0;0.0;0.0;-0.010577451162161007;0.9999440571986575
1513594437.4856884;1513594437;485688470;80;0.430136689447427;-0.23716787154919883;0.0;0.0;0.0;-0.04887134272190272;0.9988050820157847
1513594437.4856884;1513594437;485688470;80;0.430136689447427;-0.23716787154919883;0.0;0.0;0.0;-0.04887134272190272;0.9988050820157847
1513594437.4856884;1513594437;485688470;80;0.430136689447427;-0.23716787154919883;0.0;0.0;0.0;-0.04887134272190272;0.9988050820157847
1513594437.4856884;1513594437;485688470;80;0.430136689447427;-0.23716787154919883;0.0;0.0;0.0;-0.04887134272190272;0.9988050820157847
1513594437.4856884;1513594437;485688470;80;0.430136689447427;-0.23716787154919883;0.0;0.0;0.0;-0.04887134272190272;0.9988050820157847
1513594437.4856884;1513594437;485688470;80;0.4280799078066998;-0.24305756731997727;0.0;0.0;0.0;-0.056937774294497985;0.998377729047673
1513594437.4856884;1513594437;485688470;80;0.4280799078066998;-0.24305756731997727;0.0;0.0;0.0;-0.056937774294497985;0.998377729047673
1513594437.4856884;1513594437;485688470;80;0.4280799078066998;-0.24305756731997727;0.0;0.0;0.0;-0.056937774294497985;0.998377729047673
1513594437.4856884;1513594437;485688470;80;0.4301124350165103;-0.18959589530642995;0.0;0.0;0.0;0.018797833761510466;0.9998233051123957
1513594437.4856884;1513594437;485688470;80;0.44168273666610536;-0.1430147327479352;0.0;0.0;0.0;-0.015468247051293762;0.9998803595096566
