time;sec;nsec;tag_address;anchor_address;range;receive_power;first_path_power;receive_quality;temperature;voltage;tag_antenna_delay;ground_truth
1516449676.41278;1516449676;412775039;176;177;1.21000003814697;-72.4499969482422;-279.299987792969;-152.979995727539;49.2200012207031;2.54855489730835;16442;1
1516449676.51476;1516449676;514756917;176;177;1.23000001907349;-71.1100006103516;-279.299987792969;-152.979995727539;48.0800018310547;3.29421997070312;16442;1
1516449676.61723;1516449676;617227077;176;177;1.24000000953674;-71.0699996948242;-279.299987792969;-152.979995727539;-97.8399963378906;2.55433511734009;16442;1
1516449676.71863;1516449676;718632936;176;177;1.20000004768372;-71.7200012207031;-279.299987792969;-152.979995727539;48.0800018310547;3.29999995231628;16442;1
1516449676.82161;1516449676;821614980;176;177;1.20000004768372;-71.2699966430664;-279.299987792969;-152.979995727539;-97.8399963378906;2.55433511734009;16442;1
1516449676.92307;1516449676;923074960;176;177;1.20000004768372;-71.6800003051758;-279.299987792969;-152.979995727539;48.0800018310547;3.29999995231628;16442;1
1516449677.02601;1516449677;26012897;176;177;1.23000001907349;-71.9000015258789;-279.299987792969;-152.979995727539;-97.8399963378906;2.55433511734009;16442;1
1516449677.1283;1516449677;128302097;176;177;1.23000001907349;-71.7399978637695;-279.299987792969;-152.979995727539;49.2200012207031;2.54855489730835;16442;1
1516449677.23058;1516449677;230581998;176;177;1.24000000953674;-72.1900024414063;-279.299987792969;-152.979995727539;-97.8399963378906;2.55433511734009;16442;1
1516449677.33262;1516449677;332617044;176;177;1.22000002861023;-72.7200012207031;-279.299987792969;-152.979995727539;49.2200012207031;3.29421997070312;16442;1
1516449677.435;1516449677;435003042;176;177;1.21000003814697;-71.9800033569336;-279.299987792969;-152.979995727539;-97.8399963378906;2.55433511734009;16442;1
1516449677.53657;1516449677;536571025;176;177;1.22000002861023;-72.5599975585938;-279.299987792969;-152.979995727539;49.2200012207031;3.29999995231628;16442;1
1516449677.63929;1516449677;639292001;176;177;1.24000000953674;-72.1800003051758;-279.299987792969;-152.979995727539;49.2200012207031;3.29421997070312;16442;1
1516449677.74142;1516449677;741415023;176;177;1.20000004768372;-70.9599990844727;-279.299987792969;-152.979995727539;49.2200012207031;3.29421997070312;16442;1
1516449677.84382;1516449677;843822956;176;177;1.21000003814697;-72.1900024414063;-279.299987792969;-152.979995727539;-97.8399963378906;2.55433511734009;16442;1
1516449678.04829;1516449678;48286914;176;177;1.23000001907349;-71.0899963378906;-279.299987792969;-152.979995727539;-97.8399963378906;2.54277396202087;16442;1
1516449678.15039;1516449678;150386095;176;177;1.23000001907349;-71.5599975585937;-279.299987792969;-152.979995727539;49.2200012207031;2.54855489730835;16442;1
1516449678.25265;1516449678;252645015;176;177;1.24000000953674;-72.0899963378906;-279.299987792969;-152.979995727539;49.2200012207031;3.28843903541565;16442;1
1516449678.35495;1516449678;354944944;176;177;1.19000005722046;-71.8600006103516;-279.299987792969;-152.979995727539;-97.8399963378906;2.54277396202087;16442;1
1516449678.45715;1516449678;457146883;176;177;1.24000000953674;-71.879997253418;-279.299987792969;-152.979995727539;-95.5599975585938;2.54277396202087;16442;1
1516449678.55927;1516449678;559268951;176;177;1.20000004768372;-71.7600021362305;-279.299987792969;-152.979995727539;-97.8399963378906;2.54277396202087;16442;1
1516449678.66159;1516449678;661590099;176;177;1.26999998092651;-71.3600006103516;-279.299987792969;-152.979995727539;-97.8399963378906;2.55433511734009;16442;1
1516449678.76316;1516449678;763160943;176;177;1.24000000953674;-71.6699981689453;-279.299987792969;-152.979995727539;48.0800018310547;3.29999995231628;16442;1
1516449678.86606;1516449678;866055965;176;177;1.25999999046326;-71.5500030517578;-279.299987792969;-152.979995727539;48.0800018310547;3.29421997070312;16442;1
1516449678.96809;1516449678;968092918;176;177;1.22000002861023;-72.2699966430664;-279.299987792969;-152.979995727539;48.0800018310547;3.29421997070312;16442;1
1516449679.07053;1516449679;70528030;176;177;1.22000002861023;-72.129997253418;-279.299987792969;-152.979995727539;-97.8399963378906;2.54277396202087;16442;1
1516449679.17276;1516449679;172760009;176;177;1.22000002861023;-71.7600021362305;-279.299987792969;-152.979995727539;-97.8399963378906;2.54277396202087;16442;1
1516449679.27515;1516449679;275154113;176;177;1.21000003814697;-71.2699966430664;-279.299987792969;-152.979995727539;49.2200012207031;2.54855489730835;16442;1
1516449679.37694;1516449679;376939058;176;177;1.21000003814697;-72.25;-279.299987792969;-152.979995727539;49.2200012207031;3.29421997070312;16442;1
1516449679.47942;1516449679;479423046;176;177;1.19000005722046;-71.9100036621094;-279.299987792969;-152.979995727539;-97.8399963378906;2.55433511734009;16442;1
1516449679.58147;1516449679;581474065;176;177;1.21000003814697;-71.7399978637695;-279.299987792969;-152.979995727539;49.2200012207031;3.29421997070312;16442;1
1516449679.68381;1516449679;683810949;176;177;1.23000001907349;-71.0500030517578;-279.299987792969;-152.979995727539;-97.8399963378906;2.55433511734009;16442;1
1516449679.78601;1516449679;786006927;176;177;1.23000001907349;-71.2099990844727;-279.299987792969;-152.979995727539;-97.8399963378906;2.55433511734009;16442;1
