time;sec;nsec;tag_address;anchor_address;range;receive_power;first_path_power;receive_quality;temperature;voltage;tag_antenna_delay;ground_truth
1516450484.859;1516450484;858997106;176;177;5.67000007629395;-89.9800033569336;-279.299987792969;-152.979995727539;50.3600006103516;2.56011605262756;16442;5.5
1516450484.96134;1516450484;961338996;176;177;5.67000007629395;-89.5800018310547;-279.299987792969;-152.979995727539;-95.5599975585938;2.55433511734009;16442;5.5
1516450485.16579;1516450485;165786027;176;177;5.71999979019165;-90.0400009155274;-279.299987792969;-152.979995727539;-95.5599975585938;2.54277396202087;16442;5.5
1516450485.26797;1516450485;267970085;176;177;5.65000009536743;-90.2200012207031;-279.299987792969;-152.979995727539;50.3600006103516;2.54855489730835;16442;5.5
1516450485.37013;1516450485;370129108;176;177;5.65000009536743;-90.0800018310547;-279.299987792969;-152.979995727539;49.2200012207031;3.28843903541565;16442;5.5
1516450485.47259;1516450485;472589015;176;177;5.69000005722046;-89.9899978637695;-279.299987792969;-152.979995727539;-95.5599975585938;2.54277396202087;16442;5.5
1516450485.57466;1516450485;574655055;176;177;5.71000003814697;-90.25;-279.299987792969;-152.979995727539;-97.8399963378906;2.55433511734009;16442;5.5
1516450485.67691;1516450485;676907062;176;177;5.67999982833862;-90.2300033569336;-279.299987792969;-152.979995727539;-95.5599975585938;2.54277396202087;16442;5.5
1516450485.77889;1516450485;778887987;176;177;5.69000005722046;-89.7799987792969;-279.299987792969;-152.979995727539;49.2200012207031;3.29421997070312;16442;5.5
1516450485.88109;1516450485;881089925;176;177;5.67000007629395;-90.4300003051758;-279.299987792969;-152.979995727539;49.2200012207031;3.29421997070312;16442;5.5
1516450485.98334;1516450485;983335018;176;177;5.69000005722046;-89.9400024414063;-279.299987792969;-152.979995727539;50.3600006103516;3.29421997070312;16442;5.5
1516450486.08574;1516450486;85743904;176;177;5.71000003814697;-90.0199966430664;-279.299987792969;-152.979995727539;-95.5599975585938;2.54277396202087;16442;5.5
1516450486.18787;1516450486;187869071;176;177;5.67000007629395;-90.1500015258789;-279.299987792969;-152.979995727539;50.3600006103516;3.29421997070312;16442;5.5
1516450486.28996;1516450486;289961099;176;177;5.69999980926514;-89.9899978637695;-279.299987792969;-152.979995727539;50.3600006103516;3.28843903541565;16442;5.5
1516450486.39227;1516450486;392268896;176;177;5.6399998664856;-90.1600036621094;-279.299987792969;-152.979995727539;50.3600006103516;3.28843903541565;16442;5.5
1516450486.49444;1516450486;494437932;176;177;5.67999982833862;-90.3000030517578;-279.299987792969;-152.979995727539;50.3600006103516;2.55433511734009;16442;5.5
1516450486.59689;1516450486;596888065;176;177;5.67000007629395;-89.8499984741211;-279.299987792969;-152.979995727539;-95.5599975585938;2.55433511734009;16442;5.5
1516450486.69889;1516450486;698888063;176;177;5.65999984741211;-89.7200012207031;-279.299987792969;-152.979995727539;49.2200012207031;3.29421997070312;16442;5.5
1516450486.80005;1516450486;800049066;176;177;5.67999982833862;-89.6100006103516;-279.299987792969;-152.979995727539;49.2200012207031;3.29999995231628;16442;5.5
1516450486.90327;1516450486;903269052;176;177;5.65000009536743;-89.5199966430664;-279.299987792969;-152.979995727539;49.2200012207031;3.29421997070312;16442;5.5
1516450487.00548;1516450487;5482912;176;177;5.69999980926514;-89.4000015258789;-279.299987792969;-152.979995727539;-95.5599975585938;2.54277396202087;16442;5.5
1516450487.10795;1516450487;107953071;176;177;5.69000005722046;-89.6100006103516;-279.299987792969;-152.979995727539;-95.5599975585938;2.54277396202087;16442;5.5
1516450487.3122;1516450487;312203884;176;177;5.69999980926514;-89.1999969482422;-279.299987792969;-152.979995727539;-95.5599975585938;2.55433511734009;16442;5.5
1516450487.41442;1516450487;414416074;176;177;5.69999980926514;-89.2300033569336;-279.299987792969;-152.979995727539;-95.5599975585938;2.55433511734009;16442;5.5
