time;sec;nsec;tag_address;anchor_address;range;receive_power;first_path_power;receive_quality;temperature;voltage;tag_antenna_delay
1516454310.567273;1516454310;567272901;176;177;8.649999618530273;-94.11000061035156;-279.29998779296875;-152.97999572753906;-95.55999755859375;2.542773962020874;16442
1516454310.669276;1516454310;669275999;176;177;8.979999542236328;-95.05000305175781;-279.29998779296875;-152.97999572753906;51.5;2.5485548973083496;16442
1516454310.771644;1516454310;771644115;176;177;9.710000038146973;-94.22000122070312;-279.29998779296875;-152.97999572753906;50.36000061035156;3.294219970703125;16442
1516454310.873673;1516454310;873672962;176;177;8.75;-94.1500015258789;-279.29998779296875;-152.97999572753906;51.5;3.294219970703125;16442
1516454310.976197;1516454310;976197004;176;177;8.34000015258789;-94.02999877929688;-279.29998779296875;-152.97999572753906;-95.55999755859375;2.554335117340088;16442
1516454311.07854;1516454311;78540086;176;177;8.949999809265137;-94.30999755859375;-279.29998779296875;-152.97999572753906;-95.55999755859375;2.554335117340088;16442
1516454311.181221;1516454311;181221008;176;177;9.0600004196167;-94.43000030517578;-279.29998779296875;-152.97999572753906;50.36000061035156;2.5485548973083496;16442
1516454311.282517;1516454311;282516956;176;177;8.399999618530273;-94.55999755859375;-279.29998779296875;-152.97999572753906;50.36000061035156;3.294219970703125;16442
1516454311.38476;1516454311;384759902;176;177;8.40999984741211;-94.12999725341797;-279.29998779296875;-152.97999572753906;51.5;3.2884390354156494;16442
1516454311.486994;1516454311;486994028;176;177;9.020000457763672;-94.06999969482422;-279.29998779296875;-152.97999572753906;51.5;3.294219970703125;16442
1516454311.589224;1516454311;589224100;176;177;8.430000305175781;-93.98999786376953;-279.29998779296875;-152.97999572753906;51.5;2.5485548973083496;16442
1516454311.691257;1516454311;691256999;176;177;9.09000015258789;-93.4000015258789;-279.29998779296875;-152.97999572753906;51.5;2.5485548973083496;16442
1516454311.793114;1516454311;793113946;176;177;9.069999694824219;-93.83000183105469;-279.29998779296875;-152.97999572753906;51.5;3.299999952316284;16442
1516454311.895335;1516454311;895334959;176;177;9.170000076293945;-93.18000030517578;-279.29998779296875;-152.97999572753906;50.36000061035156;3.299999952316284;16442
1516454311.997241;1516454311;997241020;176;177;9.239999771118164;-93.68000030517578;-279.29998779296875;-152.97999572753906;-95.55999755859375;2.554335117340088;16442
1516454312.099159;1516454312;99159002;176;177;9.260000228881836;-93.81999969482422;-279.29998779296875;-152.97999572753906;50.36000061035156;3.294219970703125;16442
1516454312.201862;1516454312;201862096;176;177;9.319999694824219;-93.16000366210938;-279.29998779296875;-152.97999572753906;-95.55999755859375;2.554335117340088;16442
1516454312.303923;1516454312;303922891;176;177;9.300000190734863;-93.48999786376953;-279.29998779296875;-152.97999572753906;51.5;3.2884390354156494;16442
1516454312.508654;1516454312;508654117;176;177;9.1899995803833;-93.33000183105469;-279.29998779296875;-152.97999572753906;-95.55999755859375;2.542773962020874;16442
1516454312.610215;1516454312;610214948;176;177;9.140000343322754;-93.8499984741211;-279.29998779296875;-152.97999572753906;51.5;3.2884390354156494;16442
1516454312.713286;1516454312;713285923;176;177;9.170000076293945;-93.94999694824219;-279.29998779296875;-152.97999572753906;-95.55999755859375;2.554335117340088;16442
1516454312.815357;1516454312;815356969;176;177;9.100000381469727;-93.95999908447266;-279.29998779296875;-152.97999572753906;-95.55999755859375;2.554335117340088;16442
1516454312.917463;1516454312;917463064;176;177;8.880000114440918;-94.12999725341797;-279.29998779296875;-152.97999572753906;51.5;2.554335117340088;16442
1516454313.019876;1516454313;19876003;176;177;8.949999809265137;-93.9800033569336;-279.29998779296875;-152.97999572753906;-95.55999755859375;2.542773962020874;16442
1516454313.121952;1516454313;121952056;176;177;8.949999809265137;-93.95999908447266;-279.29998779296875;-152.97999572753906;50.36000061035156;3.294219970703125;16442
1516454313.223992;1516454313;223992109;176;177;9.039999961853027;-93.91000366210938;-279.29998779296875;-152.97999572753906;50.36000061035156;3.294219970703125;16442
1516454313.326106;1516454313;326106071;176;177;8.789999961853027;-93.87999725341797;-279.29998779296875;-152.97999572753906;51.5;3.2884390354156494;16442
1516454313.428445;1516454313;428445100;176;177;8.9399995803833;-94.16000366210938;-279.29998779296875;-152.97999572753906;51.5;3.2884390354156494;16442
1516454313.530627;1516454313;530627012;176;177;8.869999885559082;-94.12000274658203;-279.29998779296875;-152.97999572753906;51.5;3.294219970703125;16442
1516454313.633391;1516454313;633390903;176;177;8.920000076293945;-94.02999877929688;-279.29998779296875;-152.97999572753906;-95.55999755859375;2.542773962020874;16442
1516454313.735138;1516454313;735137939;176;177;8.920000076293945;-93.91999816894531;-279.29998779296875;-152.97999572753906;50.36000061035156;3.2884390354156494;16442
1516454313.836771;1516454313;836771011;176;177;8.699999809265137;-94.20999908447266;-279.29998779296875;-152.97999572753906;51.5;3.294219970703125;16442
1516454313.939532;1516454313;939532041;176;177;8.800000190734863;-94.86000061035156;-279.29998779296875;-152.97999572753906;-95.55999755859375;2.542773962020874;16442
1516454314.042012;1516454314;42011976;176;177;8.75;-93.62000274658203;-279.29998779296875;-152.97999572753906;50.36000061035156;3.2884390354156494;16442
1516454314.14427;1516454314;144269943;176;177;8.760000228881836;-94.04000091552734;-279.29998779296875;-152.97999572753906;-95.55999755859375;2.542773962020874;16442
1516454314.246153;1516454314;246153116;176;177;8.699999809265137;-94.02999877929688;-279.29998779296875;-152.97999572753906;-95.55999755859375;2.542773962020874;16442
1516454314.348601;1516454314;348601102;176;177;8.819999694824219;-94.37999725341797;-279.29998779296875;-152.97999572753906;51.5;3.2884390354156494;16442
