time;sec;nsec;tag_address;anchor_address;range;receive_power;first_path_power;receive_quality;temperature;voltage;tag_antenna_delay;ground_truth
1516453620.18933;1516453620;189330101;176;177;4.28999996185303;-90.3499984741211;-279.299987792969;-152.979995727539;-95.5599975585938;2.55433511734009;16442;3.5
1516453620.29223;1516453620;292227983;176;177;3.74000000953674;-91.8199996948242;-279.299987792969;-152.979995727539;51.5;2.55433511734009;16442;3.5
1516453620.39446;1516453620;394462108;176;177;3.80999994277954;-89.9599990844727;-279.299987792969;-152.979995727539;51.5;2.54855489730835;16442;3.5
1516453620.4967;1516453620;496695995;176;177;3.82999992370605;-91.3300018310547;-279.299987792969;-152.979995727539;51.5;3.28843903541565;16442;3.5
1516453620.59897;1516453620;598969936;176;177;3.80999994277954;-90.4000015258789;-279.299987792969;-152.979995727539;50.3600006103516;3.28265905380249;16442;3.5
1516453620.70103;1516453620;701034069;176;177;3.76999998092651;-89.9100036621094;-279.299987792969;-152.979995727539;51.5;3.28265905380249;16442;3.5
1516453620.80355;1516453620;803549051;176;177;3.75;-90.3600006103516;-279.299987792969;-152.979995727539;-95.5599975585938;2.55433511734009;16442;3.5
1516453620.90569;1516453620;905694007;176;177;3.77999997138977;-90.7600021362305;-279.299987792969;-152.979995727539;-95.5599975585938;2.55433511734009;16442;3.5
1516453621.0073;1516453621;7301092;176;177;3.76999998092651;-90.5299987792969;-279.299987792969;-152.979995727539;50.3600006103516;3.29999995231628;16442;3.5
1516453621.10964;1516453621;109637022;176;177;3.79999995231628;-90.5;-279.299987792969;-152.979995727539;51.5;3.29421997070312;16442;3.5
1516453621.31426;1516453621;314258098;176;177;3.82999992370605;-90.4000015258789;-279.299987792969;-152.979995727539;51.5;3.28843903541565;16442;3.5
1516453621.41646;1516453621;416461944;176;177;3.79999995231628;-91.4000015258789;-279.299987792969;-152.979995727539;51.5;3.28843903541565;16442;3.5
1516453621.51904;1516453621;519037961;176;177;3.76999998092651;-90.9300003051758;-279.299987792969;-152.979995727539;-95.5599975585938;2.54277396202087;16442;3.5
1516453621.62104;1516453621;621043920;176;177;3.77999997138977;-89.9800033569336;-279.299987792969;-152.979995727539;51.5;3.28843903541565;16442;3.5
1516453621.72345;1516453621;723444938;176;177;3.80999994277954;-90.6600036621094;-279.299987792969;-152.979995727539;-95.5599975585938;2.55433511734009;16442;3.5
1516453621.82557;1516453621;825567960;176;177;3.80999994277954;-91.2300033569336;-279.299987792969;-152.979995727539;52.6399993896484;2.54855489730835;16442;3.5
1516453621.92775;1516453621;927746057;176;177;3.80999994277954;-90.620002746582;-279.299987792969;-152.979995727539;50.3600006103516;3.29421997070312;16442;3.5
1516453622.02944;1516453622;29443025;176;177;3.76999998092651;-90.1600036621094;-279.299987792969;-152.979995727539;50.3600006103516;3.29999995231628;16442;3.5
1516453622.13237;1516453622;132364988;176;177;3.75999999046326;-89.7600021362305;-279.299987792969;-152.979995727539;-95.5599975585938;2.55433511734009;16442;3.5
1516453622.2344;1516453622;234404087;176;177;3.80999994277954;-90.1600036621094;-279.299987792969;-152.979995727539;51.5;2.54855489730835;16442;3.5
1516453622.33653;1516453622;336532115;176;177;3.79999995231628;-91.3099975585937;-279.299987792969;-152.979995727539;50.3600006103516;3.29421997070312;16442;3.5
1516453622.4389;1516453622;438898086;176;177;3.79999995231628;-91.4599990844727;-279.299987792969;-152.979995727539;-95.5599975585938;2.54277396202087;16442;3.5
1516453622.54121;1516453622;541213035;176;177;3.78999996185303;-91.2799987792969;-279.299987792969;-152.979995727539;-95.5599975585938;2.54277396202087;16442;3.5
1516453622.64361;1516453622;643605947;176;177;3.74000000953674;-90.8499984741211;-279.299987792969;-152.979995727539;-95.5599975585938;2.54277396202087;16442;3.5
1516453622.74535;1516453622;745345115;176;177;3.76999998092651;-90.5699996948242;-279.299987792969;-152.979995727539;51.5;3.29421997070312;16442;3.5
1516453622.84759;1516453622;847589015;176;177;3.78999996185303;-90.5400009155273;-279.299987792969;-152.979995727539;51.5;3.29421997070312;16442;3.5
1516453622.94976;1516453622;949763059;176;177;3.76999998092651;-90.7200012207031;-279.299987792969;-152.979995727539;51.5;3.29421997070312;16442;3.5
1516453623.05214;1516453623;52136898;176;177;3.82999992370605;-90.4499969482422;-279.299987792969;-152.979995727539;51.5;2.54855489730835;16442;3.5
1516453623.1541;1516453623;154103994;176;177;3.79999995231628;-90.2200012207031;-279.299987792969;-152.979995727539;51.5;3.28843903541565;16442;3.5
1516453623.25658;1516453623;256583929;176;177;3.75999999046326;-90.1900024414062;-279.299987792969;-152.979995727539;50.3600006103516;3.28843903541565;16442;3.5
1516453623.46106;1516453623;461060047;176;177;3.76999998092651;-91.2699966430664;-279.299987792969;-152.979995727539;51.5;3.28843903541565;16442;3.5
1516453623.56306;1516453623;563055038;176;177;3.76999998092651;-90.5800018310547;-279.299987792969;-152.979995727539;51.5;3.29421997070312;16442;3.5
1516453623.66524;1516453623;665235996;176;177;3.77999997138977;-90.370002746582;-279.299987792969;-152.979995727539;51.5;3.29421997070312;16442;3.5
1516453623.76753;1516453623;767529010;176;177;3.75;-90.9800033569336;-279.299987792969;-152.979995727539;51.5;3.29421997070312;16442;3.5
1516453623.86971;1516453623;869710922;176;177;3.82999992370605;-91.0699996948242;-279.299987792969;-152.979995727539;51.5;3.29421997070312;16442;3.5
1516453623.97194;1516453623;971935987;176;177;3.78999996185303;-91.0899963378906;-279.299987792969;-152.979995727539;51.5;3.29421997070312;16442;3.5
1516453624.07425;1516453624;74245929;176;177;3.84999990463257;-90.4899978637695;-279.299987792969;-152.979995727539;51.5;3.28843903541565;16442;3.5
1516453624.17644;1516453624;176438093;176;177;3.74000000953674;-90.4000015258789;-279.299987792969;-152.979995727539;51.5;2.54277396202087;16442;3.5
1516453624.27872;1516453624;278723001;176;177;3.80999994277954;-90.4700012207031;-279.299987792969;-152.979995727539;51.5;3.28265905380249;16442;3.5
1516453624.38105;1516453624;381052970;176;177;3.80999994277954;-90.7699966430664;-279.299987792969;-152.979995727539;-95.5599975585938;2.54277396202087;16442;3.5
1516453624.48336;1516453624;483364105;176;177;3.80999994277954;-90.4300003051758;-279.299987792969;-152.979995727539;-95.5599975585938;2.55433511734009;16442;3.5
1516453624.58542;1516453624;585418939;176;177;3.83999991416931;-90.620002746582;-279.299987792969;-152.979995727539;51.5;3.28843903541565;16442;3.5
1516453624.68787;1516453624;687869071;176;177;3.76999998092651;-90.8199996948242;-279.299987792969;-152.979995727539;-95.5599975585938;2.55433511734009;16442;3.5
1516453624.79003;1516453624;790030002;176;177;3.80999994277954;-90.9499969482422;-279.299987792969;-152.979995727539;-95.5599975585938;2.55433511734009;16442;3.5
1516453624.89144;1516453624;891442060;176;177;3.80999994277954;-90.3199996948242;-279.299987792969;-152.979995727539;51.5;3.29999995231628;16442;3.5
1516453624.99439;1516453624;994394063;176;177;3.80999994277954;-90.370002746582;-279.299987792969;-152.979995727539;-95.5599975585938;2.54277396202087;16442;3.5
1516453625.0967;1516453625;96694946;176;177;3.78999996185303;-90.7699966430664;-279.299987792969;-152.979995727539;-95.5599975585938;2.54277396202087;16442;3.5
1516453625.19867;1516453625;198673963;176;177;3.80999994277954;-90.75;-279.299987792969;-152.979995727539;51.5;3.28843903541565;16442;3.5
1516453625.30114;1516453625;301143884;176;177;3.80999994277954;-90.4499969482422;-279.299987792969;-152.979995727539;-95.5599975585938;2.54277396202087;16442;3.5
1516453625.40261;1516453625;402614116;176;177;3.77999997138977;-91;-279.299987792969;-152.979995727539;51.5;3.29421997070312;16442;3.5
1516453625.6069;1516453625;606898069;176;177;3.77999997138977;-90.75;-279.299987792969;-152.979995727539;51.5;3.29999995231628;16442;3.5
1516453625.81186;1516453625;811858892;176;177;3.77999997138977;-90.5999984741211;-279.299987792969;-152.979995727539;50.3600006103516;3.29421997070312;16442;3.5
1516453625.91426;1516453625;914261102;176;177;3.8199999332428;-90.4000015258789;-279.299987792969;-152.979995727539;-95.5599975585938;2.54277396202087;16442;3.5
1516453626.0163;1516453626;16304016;176;177;3.79999995231628;-91.0100021362305;-279.299987792969;-152.979995727539;51.5;3.28843903541565;16442;3.5
1516453626.11838;1516453626;118381023;176;177;3.79999995231628;-90.9000015258789;-279.299987792969;-152.979995727539;51.5;2.54277396202087;16442;3.5
1516453626.2209;1516453626;220902919;176;177;3.80999994277954;-90.6900024414063;-279.299987792969;-152.979995727539;51.5;3.28843903541565;16442;3.5
1516453626.32311;1516453626;323110103;176;177;3.80999994277954;-90.5;-279.299987792969;-152.979995727539;-95.5599975585938;2.55433511734009;16442;3.5
1516453626.42519;1516453626;425189018;176;177;3.8199999332428;-91.0800018310547;-279.299987792969;-152.979995727539;51.5;3.29421997070312;16442;3.5
1516453626.52762;1516453626;527616977;176;177;3.75999999046326;-90.9400024414063;-279.299987792969;-152.979995727539;-93.2799987792969;2.55433511734009;16442;3.5
1516453626.6296;1516453626;629601955;176;177;3.79999995231628;-90.8399963378906;-279.299987792969;-152.979995727539;50.3600006103516;3.29421997070312;16442;3.5
1516453626.73193;1516453626;731931924;176;177;3.80999994277954;-90.7699966430664;-279.299987792969;-152.979995727539;51.5;2.54855489730835;16442;3.5
1516453626.83414;1516453626;834144115;176;177;3.84999990463257;-90.1500015258789;-279.299987792969;-152.979995727539;50.3600006103516;3.28843903541565;16442;3.5
1516453626.93658;1516453626;936574935;176;177;3.82999992370605;-90.379997253418;-279.299987792969;-152.979995727539;-95.5599975585938;2.54277396202087;16442;3.5
1516453627.03737;1516453627;37372112;176;177;3.77999997138977;-91.1999969482422;-279.299987792969;-152.979995727539;51.5;3.29421997070312;16442;3.5
1516453627.14104;1516453627;141036033;176;177;3.77999997138977;-90.4400024414062;-279.299987792969;-152.979995727539;-93.2799987792969;2.54277396202087;16442;3.5
1516453627.24233;1516453627;242332935;176;177;3.77999997138977;-90.6600036621094;-279.299987792969;-152.979995727539;51.5;3.29999995231628;16442;3.5
1516453627.34471;1516453627;344706058;176;177;3.80999994277954;-90.2799987792969;-279.299987792969;-152.979995727539;51.5;3.29999995231628;16442;3.5
1516453627.44769;1516453627;447685956;176;177;3.77999997138977;-90.4199981689453;-279.299987792969;-152.979995727539;-95.5599975585938;2.55433511734009;16442;3.5
1516453627.54907;1516453627;549068927;176;177;3.78999996185303;-90.2200012207031;-279.299987792969;-152.979995727539;51.5;3.29999995231628;16442;3.5
1516453627.75428;1516453627;754275083;176;177;3.80999994277954;-90.7399978637695;-279.299987792969;-152.979995727539;-95.5599975585938;2.54277396202087;16442;3.5
1516453627.85636;1516453627;856359004;176;177;3.85999989509583;-90.8899993896484;-279.299987792969;-152.979995727539;50.3600006103516;3.29421997070312;16442;3.5
1516453627.95862;1516453627;958620071;176;177;3.80999994277954;-91.2799987792969;-279.299987792969;-152.979995727539;50.3600006103516;3.28265905380249;16442;3.5
1516453628.06082;1516453628;60816049;176;177;3.73000001907349;-90.7099990844727;-279.299987792969;-152.979995727539;51.5;2.54855489730835;16442;3.5
1516453628.16291;1516453628;162913084;176;177;3.79999995231628;-90.6100006103516;-279.299987792969;-152.979995727539;51.5;3.28843903541565;16442;3.5
1516453628.26508;1516453628;265078067;176;177;3.78999996185303;-90.4599990844727;-279.299987792969;-152.979995727539;51.5;3.29421997070312;16442;3.5
1516453628.36757;1516453628;367566108;176;177;3.8199999332428;-90.6500015258789;-279.299987792969;-152.979995727539;-95.5599975585938;2.55433511734009;16442;3.5
1516453628.46988;1516453628;469882011;176;177;3.78999996185303;-90.3600006103516;-279.299987792969;-152.979995727539;-95.5599975585938;2.55433511734009;16442;3.5
1516453628.57197;1516453628;571970939;176;177;3.80999994277954;-90.5;-279.299987792969;-152.979995727539;-95.5599975585938;2.54277396202087;16442;3.5
1516453628.67424;1516453628;674243927;176;177;3.8199999332428;-90.5800018310547;-279.299987792969;-152.979995727539;-95.5599975585938;2.55433511734009;16442;3.5
1516453628.77615;1516453628;776150941;176;177;3.77999997138977;-90.6699981689453;-279.299987792969;-152.979995727539;51.5;3.29421997070312;16442;3.5
1516453628.87859;1516453628;878587961;176;177;3.83999991416931;-90.75;-279.299987792969;-152.979995727539;-95.5599975585938;2.54277396202087;16442;3.5
1516453628.98072;1516453628;980715036;176;177;3.77999997138977;-91.0400009155273;-279.299987792969;-152.979995727539;51.5;3.28843903541565;16442;3.5
1516453629.08279;1516453629;82791090;176;177;3.8199999332428;-90.7099990844727;-279.299987792969;-152.979995727539;51.5;3.29421997070312;16442;3.5
1516453629.18509;1516453629;185089111;176;177;3.76999998092651;-91;-279.299987792969;-152.979995727539;51.5;3.29421997070312;16442;3.5
1516453629.2873;1516453629;287295103;176;177;3.77999997138977;-90.9800033569336;-279.299987792969;-152.979995727539;51.5;3.29421997070312;16442;3.5
1516453629.38975;1516453629;389748096;176;177;3.77999997138977;-91.120002746582;-279.299987792969;-152.979995727539;-95.5599975585938;2.55433511734009;16442;3.5
1516453629.4918;1516453629;491801023;176;177;3.76999998092651;-91.2399978637695;-279.299987792969;-152.979995727539;51.5;3.28843903541565;16442;3.5
1516453629.59401;1516453629;594012975;176;177;3.80999994277954;-91.3600006103516;-279.299987792969;-152.979995727539;51.5;3.28843903541565;16442;3.5
1516453629.69628;1516453629;696275949;176;177;3.78999996185303;-91.2699966430664;-279.299987792969;-152.979995727539;51.5;2.54855489730835;16442;3.5
1516453629.90068;1516453629;900681972;176;177;3.79999995231628;-90.7399978637695;-279.299987792969;-152.979995727539;-93.2799987792969;2.54277396202087;16442;3.5
1516453630.0038;1516453630;3801107;176;177;3.80999994277954;-90.9700012207031;-279.299987792969;-152.979995727539;51.5;3.29421997070312;16442;3.5
1516453630.10592;1516453630;105916976;176;177;3.79999995231628;-90.0999984741211;-279.299987792969;-152.979995727539;-95.5599975585938;2.55433511734009;16442;3.5
1516453630.20748;1516453630;207478046;176;177;3.82999992370605;-89.9300003051758;-279.299987792969;-152.979995727539;-95.5599975585938;2.55433511734009;16442;3.5
1516453630.30975;1516453630;309751033;176;177;3.84999990463257;-90.2200012207031;-279.299987792969;-152.979995727539;-95.5599975585938;2.55433511734009;16442;3.5
1516453630.41126;1516453630;411261081;176;177;3.77999997138977;-90.9100036621094;-279.299987792969;-152.979995727539;50.3600006103516;3.29999995231628;16442;3.5
1516453630.51343;1516453630;513430118;176;177;3.79999995231628;-90.5599975585938;-279.299987792969;-152.979995727539;-95.5599975585938;2.54277396202087;16442;3.5
1516453630.61607;1516453630;616074085;176;177;3.80999994277954;-90.5999984741211;-279.299987792969;-152.979995727539;51.5;2.54855489730835;16442;3.5
1516453630.7184;1516453630;718394994;176;177;3.80999994277954;-90.8899993896484;-279.299987792969;-152.979995727539;51.5;3.28843903541565;16442;3.5
1516453630.82064;1516453630;820641994;176;177;3.80999994277954;-90.2900009155274;-279.299987792969;-152.979995727539;51.5;3.28265905380249;16442;3.5
1516453630.92274;1516453630;922743082;176;177;3.80999994277954;-90.25;-279.299987792969;-152.979995727539;51.5;3.29421997070312;16442;3.5
1516453631.02527;1516453631;25266885;176;177;3.75999999046326;-90.2699966430664;-279.299987792969;-152.979995727539;-95.5599975585938;2.55433511734009;16442;3.5
1516453631.12667;1516453631;126668930;176;177;3.80999994277954;-90.7600021362305;-279.299987792969;-152.979995727539;51.5;3.29999995231628;16442;3.5
1516453631.22905;1516453631;229048013;176;177;3.77999997138977;-89.7900009155273;-279.299987792969;-152.979995727539;50.3600006103516;3.29999995231628;16442;3.5
1516453631.33156;1516453631;331564903;176;177;3.77999997138977;-89.6500015258789;-279.299987792969;-152.979995727539;51.5;3.29421997070312;16442;3.5
1516453631.43399;1516453631;433993101;176;177;3.8199999332428;-90.7699966430664;-279.299987792969;-152.979995727539;51.5;3.28843903541565;16442;3.5
1516453631.84355;1516453631;843548059;176;177;3.8199999332428;-90.9800033569336;-279.299987792969;-152.979995727539;51.5;3.29421997070312;16442;3.5
1516453632.04714;1516453632;47137022;176;177;3.75999999046326;-90.5599975585938;-279.299987792969;-152.979995727539;51.5;3.29421997070312;16442;3.5
1516453632.14898;1516453632;148983001;176;177;3.79999995231628;-89.5100021362305;-279.299987792969;-152.979995727539;51.5;3.29999995231628;16442;3.5
1516453632.25157;1516453632;251566886;176;177;3.82999992370605;-89.6500015258789;-279.299987792969;-152.979995727539;51.5;3.29421997070312;16442;3.5
1516453632.35379;1516453632;353794097;176;177;3.77999997138977;-89.9899978637695;-279.299987792969;-152.979995727539;51.5;3.28843903541565;16442;3.5
1516453632.45609;1516453632;456094026;176;177;3.80999994277954;-89.8000030517578;-279.299987792969;-152.979995727539;51.5;3.28265905380249;16442;3.5
