time;sec;nsec;tag_address;anchor_address;range;receive_power;first_path_power;receive_quality;temperature;voltage;tag_antenna_delay;ground_truth
1516451467.89163;1516451467;891627073;176;177;2.21000003814697;-84.0400009155274;-279.299987792969;-152.979995727539;50.3600006103516;3.29999995231628;16442;1.5
1516451467.99384;1516451467;993834972;176;177;2.27999997138977;-82.0800018310547;-279.299987792969;-152.979995727539;50.3600006103516;3.29999995231628;16442;1.5
1516451468.09574;1516451468;95735073;176;177;1.91999995708466;-87;-279.299987792969;-152.979995727539;50.3600006103516;3.29999995231628;16442;1.5
1516451468.30111;1516451468;301107883;176;177;2.28999996185303;-79.379997253418;-279.299987792969;-152.979995727539;50.3600006103516;3.28843903541565;16442;1.5
1516451468.40325;1516451468;403254032;176;177;2.00999999046326;-86.3899993896484;-279.299987792969;-152.979995727539;50.3600006103516;3.28843903541565;16442;1.5
1516451468.50553;1516451468;505527973;176;177;2.04999995231628;-85.1600036621094;-279.299987792969;-152.979995727539;-95.5599975585938;2.54277396202087;16442;1.5
1516451468.60764;1516451468;607644081;176;177;1.9099999666214;-83.5800018310547;-279.299987792969;-152.979995727539;50.3600006103516;2.54855489730835;16442;1.5
1516451468.7101;1516451468;710100889;176;177;2.11999988555908;-83.9700012207031;-279.299987792969;-152.979995727539;-94.4199981689453;2.54855489730835;16442;1.5
1516451468.8124;1516451468;812401056;176;177;1.76999998092651;-84.9700012207031;-279.299987792969;-152.979995727539;-95.5599975585938;2.55433511734009;16442;1.5
1516451468.91432;1516451468;914324045;176;177;2.0699999332428;-84.2200012207031;-279.299987792969;-152.979995727539;50.3600006103516;2.54855489730835;16442;1.5
1516451469.01645;1516451469;16449928;176;177;2.24000000953674;-84.5699996948242;-279.299987792969;-152.979995727539;50.3600006103516;3.29421997070312;16442;1.5
1516451469.11865;1516451469;118654012;176;177;1.89999997615814;-84.3000030517578;-279.299987792969;-152.979995727539;-95.5599975585938;2.55433511734009;16442;1.5
1516451469.22114;1516451469;221137046;176;177;2.08999991416931;-81.3300018310547;-279.299987792969;-152.979995727539;-95.5599975585938;2.54277396202087;16442;1.5
1516451469.32321;1516451469;323205947;176;177;1.96000003814697;-84.1100006103516;-279.299987792969;-152.979995727539;50.3600006103516;3.28843903541565;16442;1.5
1516451469.42532;1516451469;425316095;176;177;1.92999994754791;-85.2300033569336;-279.299987792969;-152.979995727539;51.5;2.54855489730835;16442;1.5
1516451469.52759;1516451469;527585029;176;177;2.26999998092651;-85.0299987792969;-279.299987792969;-152.979995727539;50.3600006103516;3.29421997070312;16442;1.5
1516451469.62955;1516451469;629549026;176;177;2.27999997138977;-83.9700012207031;-279.299987792969;-152.979995727539;-95.5599975585938;2.55433511734009;16442;1.5
1516451469.73233;1516451469;732325077;176;177;1.76999998092651;-83.4499969482422;-279.299987792969;-152.979995727539;-95.5599975585938;2.55433511734009;16442;1.5
1516451469.83277;1516451469;832766056;176;177;2.05999994277954;-82.75;-279.299987792969;-152.979995727539;49.2200012207031;3.29999995231628;16442;1.5
1516451469.93648;1516451469;936475992;176;177;2.05999994277954;-82.8899993896484;-279.299987792969;-152.979995727539;50.3600006103516;3.29421997070312;16442;1.5
1516451470.03895;1516451470;38949012;176;177;2.11999988555908;-83.0599975585938;-279.299987792969;-152.979995727539;-95.5599975585938;2.55433511734009;16442;1.5
1516451470.14109;1516451470;141088008;176;177;1.75999999046326;-83.3300018310547;-279.299987792969;-152.979995727539;-95.5599975585938;2.54277396202087;16442;1.5
1516451470.24314;1516451470;243143081;176;177;2.27999997138977;-83.1999969482422;-279.299987792969;-152.979995727539;50.3600006103516;3.28843903541565;16442;1.5
1516451470.4476;1516451470;447597980;176;177;1.92999994754791;-82.8000030517578;-279.299987792969;-152.979995727539;-95.5599975585938;2.54277396202087;16442;1.5
1516451470.54998;1516451470;549983024;176;177;1.74000000953674;-83.629997253418;-279.299987792969;-152.979995727539;-95.5599975585938;2.55433511734009;16442;1.5
1516451470.65189;1516451470;651894092;176;177;2.07999992370605;-85.1600036621094;-279.299987792969;-152.979995727539;50.3600006103516;3.29421997070312;16442;1.5
1516451470.75436;1516451470;754359960;176;177;2.05999994277954;-84.7200012207031;-279.299987792969;-152.979995727539;-95.5599975585938;2.55433511734009;16442;1.5
1516451470.85626;1516451470;856255054;176;177;1.71000003814697;-84.9899978637695;-279.299987792969;-152.979995727539;51.5;3.29421997070312;16442;1.5
1516451470.95807;1516451470;958065032;176;177;1.72000002861023;-84.370002746582;-279.299987792969;-152.979995727539;50.3600006103516;3.29999995231628;16442;1.5
1516451471.06094;1516451471;60936927;176;177;2.25;-83.5100021362305;-279.299987792969;-152.979995727539;50.3600006103516;3.28843903541565;16442;1.5
1516451471.16316;1516451471;163156032;176;177;1.92999994754791;-83.3300018310547;-279.299987792969;-152.979995727539;50.3600006103516;3.28843903541565;16442;1.5
1516451471.26527;1516451471;265270948;176;177;2.13000011444092;-80.25;-279.299987792969;-152.979995727539;51.5;2.54855489730835;16442;1.5
1516451471.3676;1516451471;367599010;176;177;2.03999996185303;-80.5599975585938;-279.299987792969;-152.979995727539;50.3600006103516;3.28843903541565;16442;1.5
1516451471.4698;1516451471;469804048;176;177;2.24000000953674;-81.4599990844727;-279.299987792969;-152.979995727539;50.3600006103516;3.28843903541565;16442;1.5
1516451471.57205;1516451471;572048902;176;177;1.83000004291534;-81.0500030517578;-279.299987792969;-152.979995727539;-95.5599975585938;2.55433511734009;16442;1.5
