time;sec;nsec;beacon_id;pdf_type;mean_x;mean_y;cov_00;cov_01;cov_10;cov_11
1518089636.9994545;1518089636;999454604;1;2;-0.004381522436308242;0.0016403340075482127;2.200040208739309;-1.4802973661668754e-17;-1.4802973661668754e-17;2.2000402087393085
1518089636.9994545;1518089636;999454604;2;2;-0.004381522436308124;0.0016403340075481425;2.610193091408314;7.401486830834377e-17;7.401486830834377e-17;2.6101930914083145
1518089636.9994545;1518089636;999454604;3;2;-0.004381522436307961;0.0016403340075481024;8.030256578774562;-8.458842092382145e-17;-8.458842092382145e-17;8.030256578774562
1518089636.9994545;1518089636;999454604;4;2;-0.004381522436308167;0.001640334007548015;13.493356251227798;4.3615904538845433e-16;4.3615904538845433e-16;13.4933562512278
1518089637.2004783;1518089637;200478415;1;2;1.7276537787265958;0.5145459017452834;0.3548731003160118;-0.2588636528299358;-0.2588636528299358;1.140991748232406
1518089637.2004783;1518089637;200478415;2;2;1.6081836763421289;0.4787390953930539;0.8531142630317502;-0.3095425726315077;-0.3095425726315077;1.7931349496343187
1518089637.2004783;1518089637;200478415;3;2;-2.0262552584803335;-0.6105514345450039;4.650056875750374;-0.6706256171803876;-0.6706256171803876;6.686616654122669
1518089637.2004783;1518089637;200478415;4;2;3.9709497270801495;1.1868920537130545;2.85903058851186;-1.579995127336467;-1.579995127336467;7.657168989318118
1518089637.4015737;1518089637;401573592;1;2;0.03975809074902282;-1.5909202024723603;1.1701723765341352;-0.24249111959004138;-0.24249111959004138;0.9714447255713271
1518089637.4015737;1518089637;401573592;2;2;1.7747761797811834;0.816426096572463;0.4898893635003949;-0.44042968701354474;-0.44042968701354474;1.206527147306871
1518089637.4015737;1518089637;401573592;3;2;2.481588555744316;2.6039547137900456;1.6590871242108438;-1.306037493843341;-1.306037493843341;1.6764897915875496
1518089637.4015737;1518089637;401573592;4;2;4.163703741721832;1.8011889301451798;1.8756657829270664;-1.9360625824888935;-1.9360625824888935;5.3443641209047605
1518089637.6028118;1518089637;602811879;1;2;0.21451515076648847;-1.6201671650405052;1.0062156339826684;-0.16188731950920077;-0.16188731950920077;1.0013721294013176
1518089637.6028118;1518089637;602811879;2;2;1.876658278338791;0.6055527298269149;0.3763818344174851;-0.4072920970103233;-0.4072920970103233;1.4543662129051673
1518089637.6028118;1518089637;602811879;3;2;1.8955465067094515;2.913683754701144;2.480714634794187;-1.3727282363421696;-1.3727282363421696;1.6032555435688853
