time;sec;nsec;beacon_id;x;y;log_w;cov_00;cov_01;cov_10;cov_11
1518089637.1101277;1518089637;110127786;1;0.9931214766772481;-0.003387308635340396;0.0;0.00039999998989515007;0.0;0.0;0.010768022277824828
1518089637.1101277;1518089637;110127786;1;0.9714674592657928;0.20263690491532815;0.0;0.000848181300922287;-0.0021085272903637966;-0.0021085272903637966;0.010319840966797689
1518089637.1101277;1518089637;110127786;1;0.9074517914998108;0.39965687171997094;0.0;0.002115230613727718;-0.0038524710568546175;-0.0038524710568546175;0.00905279165399226
1518089637.1101277;1518089637;110127786;1;0.8038722652419312;0.579061873822533;0.0;0.003982063591345742;-0.004930287579014454;-0.004930287579014454;0.007185958676374236
1518089637.1101277;1518089637;110127786;1;0.6652558028193347;0.7330110517504193;0.0;0.006125887852301025;-0.005155612588506164;-0.005155612588506164;0.0050421344154189555
1518089637.1101277;1518089637;110127786;1;0.4976606087954733;0.8547760876980646;0.0;0.008176016705842407;-0.004489485344175179;-0.004489485344175179;0.0029920055618775704
1518089637.1101277;1518089637;110127786;1;0.3084113973601563;0.9390352653010879;0.0;0.009777964248356655;-0.003047085298142365;-0.003047085298142365;0.0013900580193633224
1518089637.1101277;1518089637;110127786;1;0.10577926717157815;0.9821060541778444;0.0;0.010654739196506509;-0.001077816522159839;-0.001077816522159839;0.0005132830712134713
1518089637.1101277;1518089637;110127786;1;-0.1013797853441812;0.9821060541778445;0.0;0.010654739196506509;0.0010778165221598352;0.0010778165221598352;0.0005132830712134705
1518089637.1101277;1518089637;110127786;1;-0.30401191553275964;0.939035265301088;0.0;0.009777964248356655;0.0030470852981423634;0.003047085298142364;0.0013900580193633213
1518089637.1101277;1518089637;110127786;1;-0.4932611269680764;0.8547760876980647;0.0;0.008176016705842412;0.0044894853441751785;0.0044894853441751785;0.0029920055618775677
1518089637.1101277;1518089637;110127786;1;-0.6608563209919377;0.7330110517504196;0.0;0.006125887852301029;0.005155612588506164;0.0051556125885061635;0.005042134415418951
1518089637.1101277;1518089637;110127786;1;-0.7994727834145344;0.5790618738225332;0.0;0.003982063591345743;0.004930287579014454;0.004930287579014454;0.0071859586763742345
1518089637.1101277;1518089637;110127786;1;-0.903052309672414;0.3996568717199712;0.0;0.00211523061372772;0.0038524710568546188;0.0038524710568546188;0.009052791653992257
1518089637.1101277;1518089637;110127786;1;-0.967067977438396;0.20263690491532857;0.0;0.0008481813009222888;0.002108527290363801;0.0021085272903638005;0.010319840966797687
1518089637.1101277;1518089637;110127786;1;-0.9887219948498515;-0.0033873086353402746;0.0;0.00039999998989515007;1.2705298218052042e-18;1.2705298218052042e-18;0.010768022277824828
1518089637.1101277;1518089637;110127786;1;-0.9670679774383961;-0.2094115221860087;0.0;0.0008481813009222858;-0.0021085272903637944;-0.0021085272903637944;0.010319840966797689
1518089637.1101277;1518089637;110127786;1;-0.9030523096724143;-0.40643148899065135;0.0;0.002115230613727715;-0.003852471056854614;-0.003852471056854614;0.009052791653992264
1518089637.1101277;1518089637;110127786;1;-0.7994727834145346;-0.5858364910932138;0.0;0.003982063591345741;-0.004930287579014454;-0.004930287579014454;0.007185958676374239
1518089637.1101277;1518089637;110127786;1;-0.6608563209919383;-0.7397856690211;0.0;0.0061258878523010206;-0.005155612588506163;-0.0051556125885061635;0.005042134415418957
1518089637.1101277;1518089637;110127786;1;-0.49326112696807706;-0.8615507049687452;0.0;0.008176016705842403;-0.004489485344175182;-0.004489485344175182;0.0029920055618775747
1518089637.1101277;1518089637;110127786;1;-0.30401191553275986;-0.9458098825717688;0.0;0.009777964248356653;-0.003047085298142365;-0.0030470852981423656;0.0013900580193633224
1518089637.1101277;1518089637;110127786;1;-0.10137978534418209;-0.9888806714485252;0.0;0.010654739196506505;-0.0010778165221598441;-0.0010778165221598443;0.0005132830712134724
1518089637.1101277;1518089637;110127786;1;0.10577926717157746;-0.9888806714485253;0.0;0.010654739196506509;0.0010778165221598318;0.0010778165221598315;0.0005132830712134697
1518089637.1101277;1518089637;110127786;1;0.3084113973601561;-0.9458098825717689;0.0;0.009777964248356655;0.003047085298142362;0.0030470852981423625;0.0013900580193633204
1518089637.1101277;1518089637;110127786;1;0.4976606087954725;-0.8615507049687459;0.0;0.008176016705842415;0.004489485344175176;0.004489485344175176;0.002992005561877563
1518089637.1101277;1518089637;110127786;1;0.6652558028193343;-0.7397856690211005;0.0;0.006125887852301029;0.005155612588506162;0.005155612588506162;0.005042134415418949
1518089637.1101277;1518089637;110127786;1;0.8038722652419311;-0.5858364910932141;0.0;0.003982063591345745;0.004930287579014455;0.004930287579014455;0.007185958676374234
1518089637.1101277;1518089637;110127786;1;0.9074517914998105;-0.40643148899065246;0.0;0.0021152306137277245;0.0038524710568546222;0.003852471056854623;0.009052791653992254
1518089637.1101277;1518089637;110127786;1;0.9714674592657927;-0.2094115221860095;0.0;0.0008481813009222894;0.0021085272903638022;0.0021085272903638022;0.010319840966797687
1518089637.1101277;1518089637;110127786;2;4.022479625252077;-0.003387308635340396;0.0;0.00039999998989515007;0.0;0.0;0.08239615961363282
1518089637.1101277;1518089637;110127786;2;3.981558972794422;0.5687581729176174;0.0;0.002060710290589463;-0.011550493850986807;-0.011550493850986809;0.08073544931293851
1518089637.1101277;1518089637;110127786;2;3.8596300419000773;1.1292564223974781;0.0;0.006908300320734599;-0.022165235383598596;-0.022165235383598596;0.07588785928279336
1518089637.1101277;1518089637;110127786;2;3.6591749539880505;1.6666973117883095;0.0;0.01455004716581618;-0.03098428136716178;-0.030984281367161783;0.0682461124377118
