time;sec;nsec;beacon_id;pdf_type;mean_x;mean_y;cov_00;cov_01;cov_10;cov_11
1513594442.786502;1513594442;786501884;180;2;0.005251359658631838;0.18510090651871994;1.0194560885615225;4.070817756958907e-17;4.070817756958907e-17;1.019456088561523
1513594442.991075;1513594442;991075038;180;2;0.9576614457941887;-0.07405619916544325;0.2710858127143852;0.17261908727302236;0.17261908727302236;0.8204669752062402
1513594443.093216;1513594443;93215942;180;2;0.9397864312532516;0.4190221632108154;0.24434623408669415;-0.11699756097551463;-0.11699756097551463;0.9281533208340279
1513594443.195429;1513594443;195429086;180;2;0.9991429464819668;0.4506339460197094;0.17529621335896703;-0.13854727846393922;-0.13854727846393922;0.866081724495339
1513594443.297526;1513594443;297525882;180;2;1.1514701872337254;0.2890478652193811;0.08207365717923155;-0.0437692065598695;-0.0437692065598695;0.6831250716290908
1513594443.399888;1513594443;399888038;180;2;1.1650509007063896;0.0242845226427736;0.07958923577484334;0.081282555111797;0.081282555111797;0.6875545624293299
1513594443.501635;1513594443;501635074;180;2;1.0894314783905563;0.2514246298002116;0.0774692861951871;-0.08854273240953196;-0.08854273240953196;0.8280500445759299
1513594443.60453;1513594443;604530096;180;2;1.19169792093594;0.41818787597039436;0.05234613880525307;-0.08892699861951817;-0.08892699861951817;0.5730274743496162
1513594443.706663;1513594443;706662893;180;2;0.9075277377817037;0.3307583016180319;0.09747966860980047;0.23086260934782496;0.23086260934782496;1.2388363284188009
1513594443.808886;1513594443;808886051;180;2;0.7096770107474426;0.006261405519464274;0.10740260339888895;0.2859532393355829;0.2859532393355829;1.5088078423378528
1513594443.911131;1513594443;911130905;180;2;0.5970173620597987;-0.1051662110828123;0.0965427913874735;0.2903872345330425;0.2903872345330425;1.6101802981188582
1513594444.115173;1513594444;115173101;180;2;0.17284824079008385;1.640540659540356;0.031442735698449686;-0.0033118947370752625;-0.0033118947370752625;0.03579195638273554
1513594444.217582;1513594444;217581987;180;2;0.4878764238939137;-1.0503133381347902;0.023432482336233882;0.05103303634130648;0.05103303634130648;0.27196025948892816
1513594444.320117;1513594444;320116996;180;2;0.5329876688466206;-1.0750914703973986;0.01859574873062124;0.03513676769272058;0.03513676769272058;0.1635828406093693
1513594444.422039;1513594444;422039031;180;2;0.519452106129443;-1.0974185376954668;0.015429644193186542;0.02890387314623024;0.02890387314623024;0.12227779961565526
1513594444.524373;1513594444;524373054;180;2;0.5289335514504337;-1.1275841347475686;0.011177907556305247;0.01186846972737731;0.01186846972737731;0.0342213549896526
1513594444.626634;1513594444;626633882;180;2;0.5264540300500551;-1.1314684258704029;0.009738063473968245;0.01013833725929227;0.01013833725929227;0.027380101333625423
1513594444.728736;1513594444;728735923;180;2;0.5191884752496284;-1.1347832031725074;0.008562058510105016;0.009597254656556227;0.009597254656556226;0.02725898342357192
1513594444.933209;1513594444;933208942;180;2;0.6153742343587248;-1.0847243163750357;0.010540008241529213;0.01484390390309028;0.014843903903090282;0.04673104766137629
1513594445.035443;1513594445;35443067;180;1;0.5454263723257922;-1.1357372092244415;0.00607972996215304;0.0032855976329057937;0.0032855976329057937;0.0020029712838814393
1513594445.239799;1513594445;239799022;180;1;0.5383207985566968;-1.136627584452968;0.005720741370782909;0.003240613996190936;0.0032406139961909356;0.0019973345376985835
1513594445.342162;1513594445;342161893;180;1;0.5423200984387034;-1.1362479516791018;0.0055617762288423245;0.0032255242605963466;0.0032255242605963466;0.001995902147442865
1513594445.444415;1513594445;444415092;180;1;0.5560012140132276;-1.1326043830126362;0.005383497699796355;0.0031833363459069265;0.0031833363459069265;0.001984898233114821
1513594445.546719;1513594445;546719074;180;1;0.5424422660466024;-1.1370742818013198;0.005166385532793061;0.0031117622522025138;0.0031117622522025133;0.001961302821764473
1513594445.648969;1513594445;648968935;180;1;0.5517516222579724;-1.1351681751736433;0.0051366003771521306;0.003114852928587545;0.003114852928587544;0.001964205246445603
1513594445.751053;1513594445;751053094;180;1;0.5414731545027699;-1.1389922759378126;0.004983346084631098;0.0030578347162333467;0.0030578347162333462;0.0019429916380918782
1513594445.853215;1513594445;853214979;180;1;0.5362001408911374;-1.1409561182971895;0.00486774757555024;0.0030147820587713993;0.003014782058771399;0.0019269574233838037
1513594445.955694;1513594445;955693960;180;1;0.5287625308462942;-1.1437401986122062;0.004776322441156214;0.00298055938301541;0.0029805593830154087;0.001914147034384516
1513594446.057835;1513594446;57835102;180;1;0.5231320569593966;-1.1454555894321152;0.004730919652623122;0.002966726883617948;0.002966726883617947;0.0019099327989650034
1513594446.160154;1513594446;160154104;180;1;0.5239159138031555;-1.1451726557580997;0.004676357135197574;0.0029470325049292135;0.0029470325049292118;0.0019028240992525207
1513594446.364545;1513594446;364545106;180;1;0.5106116327128426;-1.1505945562110231;0.004610419653940014;0.0029201609695889614;0.0029201609695889597;0.001891873128760914
1513594446.46671;1513594446;466710090;180;1;0.5084696358580462;-1.1512081691303964;0.004586434871771762;0.0029132901041281477;0.0029132901041281464;0.0018899048477129799
1513594446.568849;1513594446;568849086;180;1;0.5088284671177845;-1.1514084937585367;0.0045339022427024955;0.002891816042275832;0.00289181604227583;0.0018813584067853264
1513594446.671068;1513594446;671067953;180;1;0.5041111197301963;-1.1530208347075388;0.004518946403531568;0.002888328560879415;0.0028883285608794123;0.001880774103430414
1513594446.773463;1513594446;773463010;180;1;0.5106118044546312;-1.1500504245772185;0.004461330851876258;0.0028620018236885404;0.002862001823688538;0.0018687444157644189
1513594446.875696;1513594446;875695943;180;1;0.5092858481002331;-1.1506806946687906;0.004399696002794764;0.0028327047794489066;0.0028327047794489044;0.0018548185797484312
1513594446.93644;1513594446;936439990;180;1;0.5092858481002331;-1.1506806946687906;0.004399696002794764;0.0028327047794489066;0.0028327047794489044;0.0018548185797484312
1513594447.094088;1513594447;94088077;180;1;0.5177877884395293;-1.1461800010267653;0.004286239601098564;0.002772644077375875;0.0027726440773758734;0.0018230240941171615
1513594447.108081;1513594447;108081102;180;1;0.5177877884395293;-1.1461800010267653;0.004286239601098564;0.002772644077375875;0.0027726440773758734;0.0018230240941171615
1513594447.108081;1513594447;108081102;177;2;-0.24364131205276413;-0.08627856028412983;1.2942368092640202;4.4408920985006264e-17;4.4408920985006264e-17;1.2942368092640208
