time;sec;nsec;x;y;z;qx;qy;qz;qw
1513594442.786502;1513594442;786501884;-0.45181623582375063;0.40846949977913494;0.0;0.0;0.0;-0.017663158898715385;0.9998439942399607
1513594442.991075;1513594442;991075038;-0.4937165116357224;0.40839563881910523;0.0;0.0;0.0;-0.016225647866266176;0.9998683555105241
1513594443.093216;1513594443;93215942;-0.5175355435835606;0.40873117441995643;0.0;0.0;0.0;-0.014314421957710781;0.9998975434133323
1513594443.195429;1513594443;195429086;-0.5375722446554796;0.4090844856261414;0.0;0.0;0.0;-0.014438711858338359;0.9998957563665684
1513594443.297526;1513594443;297525882;-0.5613920790286978;0.40903010302588383;0.0;0.0;0.0;-0.01311926798026908;0.9999139387005573
1513594443.399888;1513594443;399888038;-0.5840744132709901;0.4087113938915501;0.0;0.0;0.0;-0.013509412711109474;0.9999087437202462
1513594443.501635;1513594443;501635074;-0.6044621277615152;0.40909693419113763;0.0;0.0;0.0;-0.01329653548251082;0.9999115971645505
1513594443.60453;1513594443;604530096;-0.6243478700645138;0.4096744835515678;0.0;0.0;0.0;-0.013461676503638663;0.9999093875275457
1513594443.706663;1513594443;706662893;-0.648365971444633;0.40835314010909024;0.0;0.0;0.0;-0.012403495491785496;0.9999230736909641
1513594443.808886;1513594443;808886051;-0.667665455609839;0.40922375878813444;0.0;0.0;0.0;-0.011580796231957648;0.9999329403308174
1513594443.911131;1513594443;911130905;-0.6952494351443296;0.4098563828294606;0.0;0.0;0.0;-0.010830699114703916;0.9999413462582126
1513594444.115173;1513594444;115173101;-0.738076365543177;0.40895205219336467;0.0;0.0;0.0;-0.008490765638397535;0.9999639527997366
1513594444.217582;1513594444;217581987;-0.75950229769345;0.40809563353636613;0.0;0.0;0.0;-0.00799049747037128;0.9999680754655
1513594444.320117;1513594444;320116996;-0.7847192746417153;0.40881286607311845;0.0;0.0;0.0;-0.006888622192606242;0.9999762731606623
